day	Anno	celltype	UMAP_1	UMAP_2	marker:Ttr	marker:Gata4	marker:Rhox5	marker:Sox7	marker:Sox17	up:Klf5	down:Arid3c	down:Arid3b	down:Tgif1	down:Dpf3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.51	2.59	5.5	3.6	5.1	1.7	3.1	1.7	3.1	2.9	1.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.65	2.32	4.5	3.9	5.1	3.6	4.2	3.1	0.4	2.5	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.37	2.68	4.5	2.5	5.1	2.7	3.1	2.9	2.1	1	2.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.48	1.55	5.3	3.4	4.8	2.6	3.8	2.9	1.7	2.3	2.2	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.21	0.96	5.4	3.9	4.4	2.9	1.5	0.5	1.7	3.1	2.5	1.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.9	0.94	5.7	3.1	4.6	1.2	3.7	2.6	2.4	2.6	1.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.35	3.24	5.3	3.4	4.9	2.4	2.7	2.5	2.2	2.6	2	1.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.12	3.18	5.4	3.7	5.2	3.9	2.8	3	1.3	2.6	1.3	0.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.94	0.23	5.1	3.2	4.8	0.6	2.6	1.3	2.9	3.5	3.2	0.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.02	2.34	4.4	3.4	4.9	4.2	4.3	3.6	0	0.9	1.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.92	1.05	5.4	4.1	4.9	3.2	2.5	1.6	2.8	2.6	1.8	1.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.8	1.82	5.6	3.4	4.6	3.8	1.5	1.4	2.3	3.6	2.5	1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.6	3.25	5.6	3.3	5	3.2	2.3	2	1.7	2.1	2.3	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.41	1.2	4	3.9	5.2	2.7	2.1	2.2	0.1	3.3	2.3	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	0.11	6	3.8	5	0.9	4.1	2.8	2.9	2.8	2.9	0
