day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx5	marker:Hcn4	marker:Gata4	up:Nkx2-5	up:Mef2c	up:Casz1	up:Arid3b	up:Gata5	up:Fos	up:Tbx20	up:Srf	up:Atf3	up:Irx2	up:Tsc22d1	up:Zbtb20	up:Irx4	up:Hoxb8	up:Mafg	up:Bbx	up:Prox1	down:Mycn	down:Id3	down:Hmgb1	down:Cnbp	down:Litaf	down:E2f5	down:Trp53	down:Lyar	down:Tgif1	down:Tfap4	down:Terf1	down:Tcf3	down:Hmgb3	down:Foxc2	down:Tcf15
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.3	2.76	0	0	0	2.8	2.2	0	0	0	0	0	2.2	0	0	3.7	0	0	0	0	2.2	0	2.8	4.3	5.7	4.6	0	2.8	2.2	4.7	2.2	0	2.2	2.2	3.4	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.87	-3.09	0	0	0	4.5	3.8	0	2.7	0	0	0	2.1	0	0	2.7	0	0	0	2.7	2.7	0	3.1	2.1	5.8	5	0	0	3.4	3.8	0	0	0	3.4	3.6	2.1	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.42	-4.04	0	0	0	4.4	0	0	2.1	0	3.1	0	0	0	0	2.7	0	0	0	3.1	2.1	0	2.1	5.5	5.8	4.9	2.1	0	3.4	3.8	2.1	0	2.1	3.4	4.1	2.1	0
E7.75	E775_First_heart_field	First_heart_field	-3.64	-3.81	2.2	0	0	3.2	3.5	0	2.2	0	0	0	0	0	0	2.8	0	0	0	3.2	2.2	0	2.2	3.5	5.8	5	0	0	0	3.2	0	0	0	0	3.9	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.61	3.69	2.2	0	2.2	2.2	2.2	0	0	0	0	0	0	0	0	2.2	0	0	0	0	3.5	0	2.2	4.6	5.7	4.9	2.2	2.8	3.2	4	3.2	0	0	0	4.2	0	2.2
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.48	1.8	1.8	0	2.4	0	1.8	0	0	2.4	0	0	0	0	0	2.8	0	0	0	1.8	2.4	0	3.4	4.6	5.7	4.4	0	0	3.4	4.2	2.4	0	0	3	4.2	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.01	2.19	2	0	2.6	0	2.6	0	0	2.6	0	0	0	0	0	3.3	0	0	0	2	0	0	3	4.3	5.8	4.4	2	2	2.6	4.2	2	2	2.6	0	3.7	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.25	-2.67	0	0	0	0	0	0	0	0	2.5	0	0	0	0	1.9	0	0	0	0	0	0	1.9	4.3	5.9	4.7	0	2.9	3.4	4.4	1.9	1.9	2.5	3.7	3.7	2.5	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.66	1.6	2.3	0	0	1.7	1.7	0	0	0	0	0	0	0	0	2.3	0	0	0	2.3	1.7	0	2.7	3.5	5.6	5.1	0	0	3.5	4.7	1.7	2.9	2.9	2.9	4.1	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.89	-2.15	0	0	0	2.6	0	0	2.6	0	0	1.9	0	0	0	2.6	0	0	0	0	1.9	0	3.2	5	5.7	5.4	0	2.6	2.6	3.6	1.9	0	1.9	1.9	3.6	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.76	-1.16	0	0	0	4	2.9	0	2.5	1.9	2.5	0	0	0	0	3.4	0	0	0	1.9	0	0	3.4	3.9	5.7	5.2	0	2.9	3.7	4.1	1.9	1.9	2.9	2.9	3.4	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.06	-3.23	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	2.2	0	0	3.5	4.3	5.9	5	0	0	3.5	4.3	2.8	0	0	0	3.7	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.57	0.4	0	0	0	0	0	0	2.8	0	0	0	2.8	0	0	0	0	0	0	0	2.8	0	0	4.5	5.2	4.1	0	0	2.8	3.8	0	2.8	2.8	0	2.8	2.8	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.04	-0.6	0	0	0	3.5	2.6	0	0	0	2.6	0	2	0	0	2	0	0	0	0	0	0	2.6	2.6	5.4	5.2	0	2.6	3.5	4	2	2	2	2.6	3.7	0	2.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.05	-1.5	0	0	2.9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4.7	5.6	5	0	2.9	2.9	4.3	4	3.6	0	2.9	2.9	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.81	2.69	2	0	2	0	0	0	2	0	0	2	2	0	0	3.5	0	0	0	0	2.7	0	3.3	4	5.4	4.3	3	2	2.7	3.5	2.7	2	2	2.7	3.9	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.44	1.32	0	0	0	0	0	0	2	0	2.7	0	2	0	0	0	0	0	0	0	3	2	2.7	3.7	5.5	4.9	2	2.7	3	4	2	0	2	3	4.5	2.7	4.7
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.96	-2.29	0	0	0	3.3	0	0	2	0	2	0	0	0	0	3	0	0	0	2	2	0	2	4	5.9	5.1	2	2.6	2	3.9	2.6	0	0	2.6	4.3	2.6	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.59	0.93	1.9	0	1.9	2.9	0	0	0	1.9	2.9	0	0	1.9	0	3.1	0	0	0	1.9	3.1	0	3.8	3.8	5.6	4.8	0	2.5	3.1	4.1	3.4	2.5	0	3.7	4.2	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.3	-0.9	1.5	0	0	1.5	2.5	0	0	1.5	1.5	0	0	0	0	3.5	0	0	0	2.8	1.5	0	3.7	5.4	5.9	5	2.8	2.1	3.4	4.3	2.5	2.5	2.1	2.8	3.6	0	0
E7.75	E775_First_heart_field	First_heart_field	-4.27	-4.02	0	2	0	4.7	4.3	2	2.7	0	3.1	0	2	0	0	4.3	0	0	0	2.7	2.7	0	0	3.9	5.5	4.5	0	0	0	2	0	0	2	2	3.7	0	0
E7.75	E775_First_heart_field	First_heart_field	-4.91	-2.71	2.4	0	2.8	3.7	4.1	3	2.8	3.2	2.4	3.2	0	1.8	0	2.8	0	0	0	1.8	3.4	0	2.8	4.3	5.3	4.7	0	1.8	1.8	3.4	1.8	0	0	1.8	3.6	0	0
E7.75	E775_First_heart_field	First_heart_field	-3.7	-3.82	0	0	0	3.6	3.1	0	2.7	2.7	3.4	0	0	0	0	3.4	0	0	0	2.1	0	2.1	0	3.4	5.5	4.8	2.1	0	2.7	4.2	0	0	0	0	3.9	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.3	2.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	4.1	0	0	4.1	4.1	0	0	3	0	5	4.1	4.4
E7.75	E775_First_heart_field	First_heart_field	-3.2	-2.32	0	0	0	3.7	3.7	1.9	3.2	0	0	0	0	1.9	0	3.2	1.9	0	0	2.5	0	0	0	3.6	5.4	4.7	2.5	0	3.2	4	0	0	2.5	2.5	4.1	0	0
