day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Dnd1	Dppa3	Gsc	Hhex	Ifitm3	Lhx1	Mesp1	Msx1	Msx2	Otx2	Sox17	Sp5	T
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.86	3.87	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.37	0.17	0	0	0	2	0	2	0	0	0	0	2.6	0	2.6	2.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.12	0.7	0	0	0	0	0	0	0	0	0	0	3.2	0	2.5	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.54	1.22	0	2.4	0	0	0	2.4	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	4.52	-0.03	0	0	0	3.5	0	0	3.2	0	2.5	0	0	0	2.5	0
E6.75	E675_Primitive_Streak	Primitive_Streak	3.01	-0.29	0	0	0	4.1	2.6	0	2.6	0	0	0	2.6	0	3.2	2.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.64	0.53	0	2.8	0	0	0	0	0	0	0	0	2.8	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.16	-1.69	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.54	0.85	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.79	1.42	0	0	2	0	0	2	0	0	2.6	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	8.73	-2.18	0	0	0	0	0	0	0	0	2.1	2.7	0	2.7	3.1	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3	-0.04	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.19	-3.94	0	0	0	0	0	0	0	3.3	2.7	3.3	0	0	3.3	3.3
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.74	-1.54	0	0	0	0	0	0	0	0	0	0	0	0	3.3	2.7
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.34	-5.12	2.6	0	0	0	0	2.6	0	0	0	0	0	0	0	4.3
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.48	-1.07	0	0	0	0	0	2	0	3.9	0	2	2	0	2.7	3.3
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.99	4.54	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.52	-0.64	0	0	0	0	0	2.5	0	2.5	0	0	2.5	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.95	-0.05	0	0	2.5	0	0	2.5	0	0	0	0	2.5	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.3	0.88	0	0	0	0	0	3.1	0	0	0	2.4	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.48	0.53	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.78	1.67	0	0	2.1	2.7	0	0	2.1	0	0	0	2.1	0	0	2.1
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.79	0.35	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.07	3.28	0	0	0	2.7	0	0	0	0	0	0	0	0	2.7	0
