day	Anno	celltype	UMAP_1	UMAP_2	marker:Slc2a3	marker:Postn	up:Msx1	up:Pitx2	up:Hoxb6	up:Tsc22d1	up:Peg3	up:Klf6	up:Hoxb8	up:Jun	up:Cdx4	up:Twist1	up:Rarg	up:Sp5	up:Prrx1	up:Hoxd4	down:Foxf1	down:Hlx	down:Lin28a
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.9	3.9	3.2	0	3.2	3.2	0	0	2.9	3.2	0	2.9	0	2.2	0	0	2.2	0	3.7	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.37	-2.09	0	0	3.4	0	0	2.8	4.2	2.1	0	2.8	0	2.1	0	0	2.1	0	3.8	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.23	4.67	0	0	3.1	0	0	0	3.5	0	2.4	3.1	0	0	2.4	0	0	0	3.5	0	2.4
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.67	5.22	2.7	0	3.7	2.7	0	0	3.3	2.7	0	0	0	2.7	2.7	0	0	0	2.7	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.05	-3.36	3.4	0	3	0	3.6	4.2	3	0	2.3	2.3	0	0	0	0	0	0	5	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.93	3.4	5.6	2.5	3.6	3.8	2.5	4.1	3.2	2.5	3.2	0	0	0	0	0	0	0	4.2	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.46	4.55	2.9	0	3.7	2.6	2.9	2.6	2.6	1.7	2.6	0	0	2.3	0	1.7	2.3	0	3.7	0	1.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.76	-0.97	3	0	2.6	3.4	0	3.8	3	2	0	0	0	3.2	0	2	0	0	3.2	0	2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.95	6.67	3	3	3.9	3	0	4	3	3.6	0	0	0	0	0	2.3	0	0	3.6	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.25	2.82	4.6	0	4.3	2.3	2.3	4.3	3.4	0	0	2.3	0	2.3	2.3	0	0	0	3.4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.27	-4.19	0	0	2.3	3.4	2.3	3	3.9	2.3	0	0	0	0	0	0	0	0	3	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.89	1.73	2.8	0	3.3	2.4	1.8	3.6	3.3	1.8	3	2.8	0	0	0	1.8	0	0	4.1	1.8	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.1	-2.91	2.2	0	0	0	0	3.5	3.3	0	0	2.2	0	2.9	0	0	0	0	4.5	0	2.2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.59	0.14	1.5	0	1.5	1.5	1.5	2.1	2.5	2.5	0	2.1	0	1.5	0	0	0	0	3.6	0	2.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.31	-2.96	2.6	0	0	0	0	3	3.3	0	0	2	0	2	0	0	0	0	3.7	2	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.82	-0.22	0	2.9	2.9	0	0	4.3	2.9	2.9	0	0	0	0	2.9	0	0	0	3.6	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.9	3.22	3.8	0	4.2	1.8	1.8	2.8	3.1	1.8	1.8	2.8	0	1.8	0	0	0	0	3.5	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.58	2.69	2.5	0	4.3	2.5	3.5	3.1	3.5	0	0	0	0	0	2.5	0	0	0	4.6	2.5	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.62	6.18	2.9	0	0	4.1	3.6	3.6	3.3	2.3	0	3.3	0	0	2.9	0	0	0	4	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.77	4.76	0	0	3.1	3.1	0	0	3.7	0	0	0	0	3.5	0	0	0	0	3.7	0	0
