day	Anno	celltype	UMAP_1	UMAP_2	marker:Gata6	marker:Pdgfra	marker:Sox17	up:Foxq1	up:Tfec	up:Hnf1b	up:Gata4	up:Sox7	up:Xbp1	up:Creb3l2	up:Hesx1	up:Runx1	up:Nfxl1	up:Zfp37	up:Meis3	down:Pou5f1	down:Nanog	down:Rest	down:Sox2	down:Mybl2	down:Zfp57	down:Klf2	down:Esrrb
E3.5	E35_ICM	ICM	-7.2	6.63	1.8	0	0	0	0	0	0	0	3.2	0	2.3	0	0	0.2	0	5.4	4	3.2	0.9	2.8	0.8	2.3	1
E3.5	E35_ICM	ICM	-5.69	6.32	2.8	2.2	0	0	0	0	0	0	2.5	0	1.4	0.3	0	0	0	5.4	4.2	4.2	2	4.1	2.5	2.7	1.4
E3.5	E35_ICM	ICM	-8.02	3.67	1.8	4.5	0.9	0	0	0	0	0	1.1	0	0	0	0	0	0	4.5	0	1.3	0	3.5	0	2.4	0
E3.5	E35_ICM	ICM	-4.12	6.6	4.1	2.2	2.9	0	0	0	2.9	0	0.4	1.8	0	0	0	0	0	5.2	3.3	2.8	3.7	3.1	1.3	3.4	2.9
E3.5	E35_ICM	ICM	-6.43	5.68	3.4	2.4	0	0	0	0	0	0	1.6	1.3	0.9	0	0	0	0	5.4	3.7	3.7	2.3	3.7	0.6	2.9	0.5
E3.5	E35_ICM	ICM	-4.23	5.42	0	0	0	0	0	0	0	0	2.2	0	1.9	0	0	0	0	5.3	3.7	3.8	2.9	3.7	2.5	3.2	3.2
E3.5	E35_ICM	ICM	-5.04	3.95	3.5	1.8	1.6	0	0	0	0	0	0.6	1.9	2.3	0	2.2	0	0	5.2	3.8	3.3	2.1	2.6	0	2.9	1.6
E3.5	E35_ICM	ICM	-6.09	6.88	1.6	2.4	0	0	0	0	0	0	1.3	0	1	0	2.7	0	0	5.4	3.9	3.1	2	2.9	0.6	3.5	2.4
E3.5	E35_ICM	ICM	-7.36	7.39	1.8	1.8	0	0	0	0	0	0	1.4	1.8	3.4	0	2	0	0	5.5	4.1	2.7	2.4	4.1	2	4.1	1.9
E3.5	E35_ICM	ICM	-8.21	3.47	3.9	1.8	1	0	0	0	0.2	0	3.3	1.7	2.7	0	0	0	0	5.3	2.5	3.8	0.9	3.9	2.4	2.2	0
E3.5	E35_ICM	ICM	-5.31	5.77	3.4	3.3	0	0	0	0	0	0	0	0	1	0	0	0	0	5.4	3.7	3.3	2.7	2.6	1.5	3.5	1.9
E3.5	E35_ICM	ICM	-4.56	7.5	3.8	4.2	1.2	0	0	0	1.8	0	0	2.5	0	0	1	0	0	5.1	1.3	4	2.5	3.3	1.3	0	2.4
E3.5	E35_ICM	ICM	-4.53	5.04	4.2	2.8	0.4	0	1.8	0	0	0	1.5	0	0	0	1.3	0	0	5	3.8	4.3	2.5	3.8	2.7	3.2	1.5
E3.5	E35_ICM	ICM	-4.84	3.64	1.2	0	0	0	0	0	0	0	0.4	0	3.8	0	0	0	0	5.5	3.8	4	3	3.8	2.6	1.8	0
E3.5	E35_ICM	ICM	-3.78	6.65	4.7	4.7	3	0	0	0	3.1	0	2.7	1.9	1.1	0	2.2	0.4	0	5.3	0	3.9	3.4	3	1.3	0.4	4
E3.5	E35_ICM	ICM	-7.49	7.05	2.7	2.4	0	0	0	0	0	0	1.6	0	1.1	0	0.8	0	0	5.3	4.2	3.6	2	3.3	1.7	2.7	1.4
