day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hes3	up:Nkx1-2	up:Hoxb9	up:Sox2	up:Foxb1	up:Nr6a1	down:T	down:Tbx6	down:Msx2	down:Mixl1	down:Mesp1	down:Hes7	down:Klf5	down:Snai1	down:Hand1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.69	1.73	2.5	0	3.2	3.2	4.3	3.9	0	2.5	0	2.5	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.07	-0.11	4	3.3	0	0	3.7	3.1	0	2	3.1	4.1	2	0	2	0	3.1	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.31	-4.6	2.9	0	2.3	2.3	3.3	0	2.9	2.3	3.3	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.36	-2.26	3.5	0	3.9	3.9	2.8	0	0	2.2	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.01	-3.63	0	0	3.4	3.4	2.4	2.4	0	0	2.4	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.69	-4.96	2.1	0	0	0	2.7	0	0	0	2.7	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.26	-2.83	3.1	2.7	0	0	3.6	3.1	2.1	2.1	0	2.7	0	0	0	0	2.1	0	2.1	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.01	0.9	4	2.3	0	0	3.3	3.3	2.3	0	2.3	2.3	0	0	0	0	3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.02	-2.15	2.2	2.2	3.6	3.6	3.3	0	0	0	2.2	2.2	0	0	0	2.2	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.62	-0.19	2.1	2.1	2.1	2.1	4	2.1	2.8	2.1	2.8	2.8	0	0	0	0	2.1	0	0	0
