day	Anno	celltype	UMAP_1	UMAP_2	marker:T	marker:Noto	up:Foxj1	up:T	up:Noto	up:Jund	up:Mterf4	up:Meox1	up:Rfx3	up:Ebf1	up:Rfx2	up:Dmrtb1	down:Sox17	down:Gsc	down:Lhx1	down:Gata6	down:Otx2	down:Pa2g4	down:Hhex	down:Zfp706
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.83	-0.02	1.9	0	0	1.9	0	2.5	0	0	0	0	0	0	3.8	4.1	4.2	2.5	3.8	4.4	3.4	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.61	0.78	0	0	0	0	0	2.6	0	0	0	0	0	0	4.8	3.8	4.3	2.9	2.6	4	2.6	3.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.22	2.97	0	0	0	0	0	2.4	0	0	0	0	0	0	4.8	3.8	3.8	0	2.4	4	0	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.38	3.31	0	0	0	0	0	2.9	0	0	0	0	0	0	2.9	4.4	0	2.9	0	4.6	3.5	2.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.66	-2.57	0	0	0	0	0	2.5	0	0	0	0	0	0	2.5	3.2	3.9	0	2.5	4.3	1.9	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.66	-0.78	2.7	0	0	2.7	0	3.1	0	0	0	0	0	0	0	3.9	3.9	3.4	2.7	4.3	2.1	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.11	-2.78	0	0	0	0	0	2.7	0	0	0	0	0	0	0	3.9	3.2	2.7	3	4.4	0	3.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.9	-2.89	2.1	0	0	2.1	0	2.1	1.5	0	0	0	0	0	2.5	3.5	3.9	2.5	3.3	4.2	2.7	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.26	1.99	2.3	0	1.7	2.3	0	2.7	1.7	0	0	1.7	0	0	0	3.4	1.7	0	2.3	4	2.3	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.39	-6.1	1.4	0	0	1.4	0	1.4	1.4	0	0	0	0	0	0	2.3	2.8	1.4	2.8	3.9	2	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.54	-2.54	3	0	0	3	0	3	1.8	0	0	0	0	0	0	3.2	2.8	0	3.4	3.9	0	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.14	4.64	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9	0	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.73	-0.51	0	1.9	0	0	1.9	2.9	1.9	0	0	0	0	0	0	3.9	3.2	0	3.2	4	0	4.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.89	2.92	0	0	0	0	0	1.8	0	0	0	0	0	0	4.7	1.8	3.3	2.8	2.8	4.1	4	2.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.39	2.05	0	0	0	0	0	3.1	2.1	0	0	0	0	0	4	4.1	3.7	2.1	0	4.6	0	3.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.32	3.24	2.9	0	0	2.9	0	2.2	0	0	0	2.2	0	0	0	3.5	3.2	0	3.5	2.9	3.9	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.76	-4.89	0	0	0	0	0	2.1	1.5	0	0	0	0	0	0	3.1	3.2	2.4	2.9	4.4	0	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.34	3	2.1	0	2.1	2.1	0	2.7	2.1	0	0	0	0	0	2.1	3.3	2.7	2.1	3.1	4	3.1	2.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.44	0.38	0	0	2.3	0	0	2.3	0	0	0	0	0	0	3.3	3.8	3.8	2.9	4.2	4	2.3	3.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.69	-2.22	2.5	0	0	2.5	0	2.9	1.5	0	0	0	0	0	3.8	4.6	3.8	2.7	2.9	4.1	2.1	2.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.22	3.34	0	0	0	0	0	2.9	0	0	0	0	0	0	0	2.9	0	0	0	3.6	0	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.61	-0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9	0	0	2.8	3.5	0	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.27	-4.02	2.5	0	0	2.5	0	0	0	0	0	0	0	0	2.5	3.8	2.5	3.1	2.5	3.8	2.5	4.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.95	-1.91	4.2	2.6	2.6	4.2	2.6	2.6	2.6	0	2.6	0	0	0	0	4	3.7	0	3.3	4.2	3.7	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.8	0.55	4.2	0	0	4.2	0	3.5	0	0	0	0	0	0	0	3.5	3.9	0	0	4.2	3.9	4.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.09	0.32	3.5	0	0	3.5	0	2.8	0	0	0	0	0	0	0	4.2	3.5	0	4.2	4.2	2.8	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.85	-2.56	0	0	0	0	0	2.4	3.1	0	0	0	0	0	0	3.1	3.1	0	2.4	4	0	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.14	2.41	0	0	0	0	0	2.4	0	0	0	0	0	0	4.4	0	2.4	0	0	4.4	2.4	2.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.01	-3.1	4.7	0	0	4.7	0	0	0	0	0	0	0	0	4.3	2.6	3.2	2.6	0	4.1	0	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.35	2.74	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0	4.1	0	0	2.8	3.4	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.79	3.83	4.9	0	3.5	4.9	0	3.9	0	0	2.9	0	0	0	0	3.5	3.5	0	3.5	2.9	0	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.63	-0.23	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	3.6	0	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-5.82	3.26	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2.6	3.3	0	4.4	0	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.23	-4.97	0	0	0	0	0	0	2.7	0	0	0	0	0	3.7	2.7	0	0	0	4.9	0	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.44	4.13	2.6	0	0	2.6	0	0	0	0	0	0	0	0	4.3	3.3	0	2.6	0	3.9	0	2.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.89	-1.35	3.2	0	0	3.2	0	2.5	0	0	0	0	0	0	4.4	2.5	3.6	3.2	3.6	3.9	4.7	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.94	-1.54	0	0	0	0	0	2.4	2.4	0	0	0	0	0	3.5	4.3	4.3	3.5	3.1	4.7	0	2.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.16	3.19	0	0	0	0	0	2.5	0	0	0	0	0	0	4.2	0	0	2.5	0	4.4	0	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.95	2.97	3.1	0	0	3.1	0	3.1	0	0	0	0	0	0	3.5	3.1	0	0	3.5	3.5	0	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.31	0.39	4.5	0	0	4.5	0	3	0	0	0	0	0	0	0	0	3	0	0	3.6	3	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.12	0.55	3.5	0	0	3.5	0	2.9	2.9	0	0	0	0	0	0	3.5	0	0	0	2.9	0	2.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.38	-5.23	0	0	0	0	0	3.1	0	0	0	0	0	0	4	0	2.4	2.4	2.4	3.1	3.1	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.1	-4.68	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	4	0	2.5	4.2	3.5	3.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.39	0.29	0	0	0	0	0	0	2.9	0	0	0	0	0	5.1	4	2.9	0	2.9	4.5	4	2.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.12	-1.56	2.8	3.4	2.8	2.8	3.4	0	0	0	0	0	0	0	0	2.8	4.7	0	2.8	3.4	3.4	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-4.32	4.3	0	0	0	0	0	3.4	0	0	0	0	0	0	3.4	0	0	0	0	3.8	2.8	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.44	1.06	0	0	3	0	0	3	0	0	0	0	0	0	0	3.6	3	0	3.6	4	4	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.66	1.67	3	0	0	3	0	0	0	0	0	0	0	0	3	3	0	3.4	0	3	0	4.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.69	0.91	3.1	0	0	3.1	0	2.4	0	0	0	0	0	0	3.5	3.7	4.1	2.4	4	4.5	3.5	4.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.37	-4.45	0	0	0	0	0	2.5	0	0	0	0	0	0	3.2	2.5	3.8	0	0	3.2	0	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.44	4.83	4.4	3	0	4.4	3	0	0	0	0	3	0	0	0	0	4.1	0	0	4.4	0	3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.74	-5.84	0	0	0	0	0	0	0	0	0	0	0	0	4	2.4	2.4	3.1	2.4	3.7	0	4.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.32	2.36	2.6	0	2.6	2.6	0	2.6	0	0	0	0	0	0	4.8	2.6	2.6	0	0	3.7	3.3	4.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.11	-1.77	3.3	0	0	3.3	0	2.6	0	0	0	0	0	0	0	3.3	0	0	0	4	2.6	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.92	-5.77	0	0	0	0	0	2.6	0	0	0	0	0	0	3.3	2.6	3.3	3.3	0	2.6	0	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.5	1.01	4.2	0	0	4.2	0	0	0	0	0	0	0	0	0	4.2	2.9	2.9	2.9	3.5	4.2	2.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.48	-0.74	0	0	0	0	0	0	0	0	0	0	0	0	3	3.7	0	0	0	3	0	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.3	-1.57	0	0	0	0	0	0	0	0	0	0	0	0	3.5	3.5	3.5	2.8	3.9	2.8	4.2	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.48	4.37	4.3	3.6	4	4.3	3.6	3.6	0	0	0	0	0	2.9	0	0	0	0	2.9	2.9	0	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-5.81	1.14	0	0	0	0	0	3.9	0	0	0	0	0	0	3.6	0	3.3	0	2.6	2.6	2.6	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.95	-2.24	3.1	0	0	3.1	0	0	2.5	0	0	0	0	0	2.5	3.5	3.5	2.5	3.1	4	3.8	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.33	0.53	2.8	0	0	2.8	0	0	2.8	0	0	0	0	0	3.9	0	4.2	0	0	3.5	3.9	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.74	-1.87	3.2	0	0	3.2	0	2.5	0	0	0	0	0	0	0	3.6	2.5	0	2.5	4.1	0	4.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.23	-4.21	2.8	0	0	2.8	0	3.9	0	0	0	0	0	0	0	2.8	2.8	0	0	4.1	2.8	4.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.72	-0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4.3	3.6	4	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-5.7	3.51	0	0	0	0	0	2.4	0	0	0	0	0	0	4	0	0	2.4	0	4	0	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.84	-5.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	4.2	0	4.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.92	-0.69	0	2.8	0	0	2.8	2.8	2.8	0	0	0	0	0	0	2.8	2.8	0	0	4.4	3.5	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.99	-1.27	3.7	2.4	0	3.7	2.4	3.4	2.4	0	0	0	0	0	0	3.4	4.3	2.4	3.7	3.9	3.7	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.02	-2.39	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	4.5	0	3.8	2.8	0	4.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.94	0.14	2.8	0	0	2.8	0	3.4	0	0	0	0	0	0	2.8	0	0	0	3.4	2.8	0	4.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.4	2.64	0	0	0	0	0	0	0	0	0	0	0	0	4.9	3.7	0	3	0	3.7	0	4.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.39	-0.42	0	0	0	0	0	0	0	0	0	0	0	0	4	3.7	3.3	2.6	2.6	3.7	3.7	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.86	-4.48	2.7	2.7	0	2.7	2.7	2.7	0	0	0	0	0	0	0	2.7	4.6	0	2.7	4	3.8	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	6.19	3.81	5.4	2.8	3.8	5.4	2.8	2.8	0	0	0	0	0	0	0	0	0	0	2.8	2.8	0	4.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.64	0.81	2.8	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	4.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.28	0.65	2.8	0	0	2.8	0	3.5	2.8	0	0	0	0	0	0	2.8	2.8	0	0	4.4	4.4	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.3	-1.63	2.8	0	2.8	2.8	0	3.5	0	0	0	0	0	0	0	2.8	2.8	0	2.8	2.8	2.8	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.94	2.62	2.7	0	0	2.7	0	0	0	0	0	0	0	0	2.7	2.7	2.7	0	0	3.4	0	4.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.18	1.33	0	0	0	0	0	2.7	0	0	0	0	0	0	5.1	2.7	2.7	0	2.7	2.7	2.7	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	6.03	1.53	3.6	0	3.2	3.6	0	2.5	2.5	2.5	2.5	0	0	0	0	2.5	2.5	0	2.5	3.6	0	2.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.92	1.49	2.7	0	0	2.7	0	2.1	0	0	0	0	0	0	5	4.1	3.6	3.1	2.7	4.2	2.1	3.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.31	0.1	3.8	0	0	3.8	0	2.8	0	0	0	0	0	0	3.8	0	2.8	0	0	0	2.8	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.33	-3.65	3	0	0	3	0	3	0	0	0	0	0	0	4.1	3	2.4	2.4	3.9	4.3	0	4.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.02	0.33	0	0	0	0	0	2.5	0	0	0	0	0	0	4.8	3.1	4.2	3.1	2.5	3.8	3.1	4.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.5	-4.86	2.7	0	0	2.7	0	2.1	0	0	2.1	0	0	0	0	0	0	0	0	3.8	0	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.72	0.91	0	0	0	0	0	2.4	0	0	0	0	0	0	5.1	4	4.1	3.1	3.1	4.3	0	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.93	0.24	2.2	0	0	2.2	0	3.9	0	0	0	0	0	0	0	0	2.2	0	0	3.3	2.9	3.8
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.23	4.09	2.2	0	0	2.2	0	2.8	2.2	0	0	0	0	0	4.1	0	0	0	0	3.7	0	3.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.67	-1.39	0	0	0	0	0	3.7	0	0	0	0	0	0	4.9	3	3.4	2.3	3	3.9	3.7	4.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.17	-4.55	0	0	0	0	0	2.9	0	0	0	0	0	0	2.3	3.3	2.3	2.3	2.9	3.6	2.3	4.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.85	-3.06	3.4	0	0	3.4	0	3.4	0	0	2.3	0	0	0	2.3	2.3	3.6	0	3.8	3.8	2.3	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.25	-5.14	0	0	0	0	0	3.3	0	0	0	0	0	0	0	2.3	0	0	2.3	4.7	0	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.7	0.98	0	0	0	0	0	3.2	0	0	0	0	0	0	4.8	2.2	3.2	3.5	2.2	4.8	2.2	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.97	-4.72	3.5	0	0	3.5	0	2.4	0	0	0	0	0	0	0	3.1	0	0	0	3.7	0	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.72	-6.05	2	0	0	2	0	2.6	0	0	0	0	0	0	4.4	2	4.2	0	3.3	4.3	2	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.42	2.58	4.7	2.8	3.4	4.7	2.8	2.8	0	0	0	0	0	0	0	3.4	3.4	0	2.8	4.3	0	4.5
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.03	-2.89	2.4	0	0	2.4	0	0	2.4	0	0	2.4	0	0	0	3	3	0	0	3.9	2.4	3.7
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-5.29	2.82	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	2.6	3.2	3.6	3.2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.24	3.79	3.5	0	0	3.5	0	3.9	0	0	0	0	0	0	3.3	2.2	2.9	0	2.2	3.3	3.3	4.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.56	3.4	4.7	4	4.3	4.7	4	3.8	0	0	0	2.9	0	0	0	0	0	0	0	3.3	0	4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.03	0.66	0	0	0	0	0	3.3	0	0	0	0	0	0	4.5	3.7	3.3	2.6	0	3.7	2.6	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.03	-2.21	0	0	0	0	0	0	2.8	0	0	0	0	0	0	3.5	4.2	0	0	4.2	2.8	3.9
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.38	-5.39	2.6	2	2	2.6	2	3.8	0	0	0	0	0	0	3.5	0	2.6	0	2	3.8	3.3	4.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.77	3.65	0	0	0	0	0	2.6	0	0	0	0	0	0	4.6	3.2	2.6	0	0	4.3	2.6	4.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.45	-2.64	0	0	0	0	0	3	0	0	0	0	0	0	4.1	0	3.9	3	0	0	2.4	4.4
