day	Anno	celltype	UMAP_1	UMAP_2	Apoa2	Apoe	Arid3c	Creb3l3	Gli3	Hand1	Lamb1	Lhx1	Myc	Sparc	Srebf2	Tfap2c	Ttr	Zic3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.62	-0.12	1.2	7.2	1.4	1.4	0	0	3.6	3.2	0	4.9	3.4	0.4	5.8	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.82	-0.44	0.8	7.1	2.7	1.4	0	0	3.6	2.9	0.1	5.3	3.2	0	6.1	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.54	2.05	2.3	7.3	3.1	3.2	0	0	3.1	0.7	1.5	5.2	3.9	0	6	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.53	2.59	1.9	6.8	0	3.2	1.5	0	2.9	0.2	1.1	5.6	3.3	1	4.5	1.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2	-2.95	2.2	6.8	2.5	1.5	0	0.6	3.9	1.8	0.9	4.6	3.3	0	5.5	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.34	-1.13	3	6.6	1.9	0.5	0	0	3.6	3.6	0	4.7	3.8	0	5.9	4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.02	-2.06	3	6.9	2.7	1.3	0	0	3.9	3.3	0	4.9	3.8	0.2	5.7	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.77	-1.82	1.5	7.1	2.4	0	0	0	3.7	4	0	5.2	3.5	0	5.8	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.96	-0.77	2.2	7	2.3	1.2	0	0	3.8	2.4	0	4.9	3.5	0	6.2	4.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.46	3.22	4	7.8	1.2	4.1	0.3	0	3.6	1.5	1.1	6.1	3.7	2.1	5.9	2.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.47	-2.3	1.5	6.6	2.4	0.9	0.3	0.9	3.5	3.1	0.1	4.5	3.3	0.3	5	3.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.77	-1.3	3	6.6	2.8	2.3	0	0	3.7	2.8	0.7	4.9	3.8	0	6	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.95	-3.21	2.2	6.7	3.4	0.8	0	0	3.3	2.9	0	4.9	3.4	0	5.4	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.63	2.83	2	6.8	0	3.8	0	1.6	2.9	1.1	0	5.9	4	0	5.3	1.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.03	1.24	2.8	7	2.3	2.8	0	0	3	1.5	1.5	5	3.9	0	6.1	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.8	-1.75	1.6	7	3.4	0	0	0	3.2	2.9	0	5	4	0	5.3	4.2
