day	Anno	celltype	UMAP_1	UMAP_2	marker:Ttr	marker:Apoa2	marker:Apoe	up:Zic3	up:Arid3c	up:Creb3l3	up:Nfia	up:Srebf2	up:Hmg20b	up:Mlxipl	up:Prdm6	up:Lhx1	up:Hnf4a	up:Stat6	up:Zfp280b	up:Tfcp2l1	down:Egr1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.42	0.82	5.9	2.5	7.1	3.3	3.4	2.5	0.7	3.8	2.9	1.2	1.8	3.6	2.6	1.8	2.9	2.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.05	1.05	5.7	2.2	6.9	3	2.9	1.5	1.6	3.5	2.6	1	0.5	3.1	1.9	2.3	2.6	0.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.56	1.84	5.2	2.7	7.2	3.1	2.4	1.3	1.6	3.5	2.9	0.8	1.8	3.2	2.2	1.7	2.4	2.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.78	1.06	5.8	4.3	7.2	3.5	3.5	3	1.4	3.6	2.5	1.1	1.1	3.6	3.2	1.7	1.8	1.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.62	1.86	5.8	1.2	7.2	2.9	1.4	1.4	0.5	3.4	3.1	1.8	1.3	3.2	2.6	1.9	2.7	2.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.98	2.15	6.1	0.8	7.1	2.6	2.7	1.4	0.9	3.2	2.5	0	1.9	2.9	1.4	2	2.7	2.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.65	-2.96	6	2.3	7.3	3	3.1	3.2	0.6	3.9	2.5	2	1.3	0.7	3.2	2.3	2.4	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.87	-1.76	4.5	1.9	6.8	1.5	0	3.2	0	3.3	2.9	0	0.9	0.2	3.2	2.6	2.1	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.52	-1.02	5.5	2.2	6.8	3.4	2.5	1.5	2.2	3.3	3	1.3	2.2	1.8	2.9	2.2	3.1	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.61	-0.56	5.9	3	6.6	4	1.9	0.5	1.3	3.8	2.5	1.1	1.6	3.6	2.5	1.9	2.8	0.7	0
