day	Anno	celltype	UMAP_1	UMAP_2	marker:Ttr	marker:Apoa2	marker:Apoe	up:Zic3	up:Arid3c	up:Creb3l3	up:Nfia	up:Srebf2	up:Hmg20b	up:Mlxipl	up:Prdm6	up:Lhx1	up:Hnf4a	up:Stat6	up:Zfp280b	up:Tfcp2l1	down:Egr1
E4.5	E45_Hypoblast	Hypoblast	0.37	-3.84	2.6	0	5.1	0	1	0	0	2.9	2	0	1	1.9	1.9	0	2.4	0	0
E4.5	E45_Hypoblast	Hypoblast	-0.51	0	0	0	5.2	0	0	0	0	2.1	2	0	2.2	0	1.9	1.7	1.7	0.7	0.7
E4.5	E45_Hypoblast	Hypoblast	-0.81	0.81	3.6	0	4.8	0	1.4	0	0	2.5	1	0	1.4	1.1	2.8	1.7	2.4	0	1.4
E4.5	E45_Hypoblast	Hypoblast	1.55	1.92	2.3	0	4.9	0	0	0	0	2.9	2	0	1	2.4	2.6	0.4	2.1	1.2	1.3
E4.5	E45_Hypoblast	Hypoblast	1.54	1.14	0.6	0	3.1	0	0	0	0	3	2.3	0	1.8	0	1.3	0.5	0.8	1.1	0.7
E4.5	E45_Hypoblast	Hypoblast	-1.31	1.35	0	0	5	0	0	0	0	2.6	1.3	0	0	0	0	0	1.5	2.7	1.8
E4.5	E45_Hypoblast	Hypoblast	1.16	3.65	1.9	0	3.8	0	0	0	0	3.3	1.6	0	0	0	0	0	2.3	0	3.6
E4.5	E45_Hypoblast	Hypoblast	2.4	-0.11	2.5	0	5.1	0	0	1	0	2.1	1.7	0	0.4	0	3.4	0.3	1	1.8	1.4
E4.5	E45_Hypoblast	Hypoblast	-0.5	1.93	2.5	0	5.5	0	0	0	0	1.3	2.4	0	0	0	2.5	0	2.9	0	0
E4.5	E45_Hypoblast	Hypoblast	0.69	2.18	0	0	4.5	0	0	0	0	1.6	1.9	0	0	0	2.4	0	0.4	0.4	2.1
E4.5	E45_Hypoblast	Hypoblast	3.52	0.16	2	0	5.8	0	0	0	0	2.3	2.3	0	0	1	0.1	0	0	1.9	2.4
E4.5	E45_Hypoblast	Hypoblast	2.25	2.94	3.2	0	4.2	0	0	0	0	2.9	2.5	0	0.8	0	0	3.1	2.1	0	2.9
E4.5	E45_Hypoblast	Hypoblast	-2.8	-0.9	3.1	0	5.1	0	0	0	0	0	0.2	0	0	0.1	0.8	0	2.2	0	0
E4.5	E45_Hypoblast	Hypoblast	3.69	0.24	2.2	0.7	6.1	0	1.8	2	0	2.7	1.7	0	1.3	0.9	1.9	1.4	2.9	0	2.8
E4.5	E45_Hypoblast	Hypoblast	1.08	0.26	1.4	0	5.5	0	0	0	0	1.3	0	0	0	0	3.1	0	0	0	1.8
E4.5	E45_Hypoblast	Hypoblast	-0.41	-1.42	1.5	0	5.5	0	0	0	0	0	0.9	0	0	0.3	0	0	1.7	0	1.9
E4.5	E45_Hypoblast	Hypoblast	3.4	1.36	0	0	5.9	0	0	0	0	2.5	1.6	0	0.3	0	2.5	2.9	2.7	2.3	0
E4.5	E45_Hypoblast	Hypoblast	2.57	0.65	3.2	0	5.4	0	0	0	0	3.4	1.6	0	0	0	0.5	2.2	3.1	1.9	2.7
E4.5	E45_Hypoblast	Hypoblast	0.54	0.25	2.1	0	5.1	0	0	0	0	0	0.5	0	0	0	0	0	0	0.4	0.7
E4.5	E45_Hypoblast	Hypoblast	0.08	-0.35	1.6	0	4.6	0	0	0	0	2.8	1.5	0	0	1.2	3.2	2.5	1.2	0.2	0
E4.5	E45_Hypoblast	Hypoblast	1.71	0.49	2	0	4.8	0	0	0	0	2	2	0	1.1	0.5	1	1.5	1.9	0	1
E4.5	E45_Hypoblast	Hypoblast	1.11	1.19	3.3	0	5.1	0	0	0	0	1.3	0.7	0	0	0.9	1.8	0.2	1.4	0	3.3
E4.5	E45_Hypoblast	Hypoblast	-0.63	1.39	2.6	0.4	5	0	0	0	0	0.7	2.1	0	0	0	2.5	0	2.6	2	0
E4.5	E45_Hypoblast	Hypoblast	0.36	-0.43	0	0	5.7	0	0	0	0	2.8	0	0	1.9	0.5	1.2	1.1	0	0	0
E4.5	E45_Hypoblast	Hypoblast	2.79	0.83	2.7	0	5.8	0	0	0	0	3.6	1.9	0	0	0	0	1.4	0	3.2	2.3
E4.5	E45_Hypoblast	Hypoblast	1.04	2.91	0	0	4.6	0	0	0	0	2.4	0.6	0	0	0.7	3.7	0.8	2.3	0	3.1
E4.5	E45_Hypoblast	Hypoblast	-2	1.29	0	0.2	5.1	0	0	0	0	0.8	2.1	0	1.1	0	1.9	2.1	0.8	0	0
E4.5	E45_Hypoblast	Hypoblast	0.84	2.2	3.8	0	4.4	0	0	0	0	2.9	1.5	0	0	0	2.3	0	2.4	0	2.1
E4.5	E45_Hypoblast	Hypoblast	3.05	-0.28	1.8	0	6.3	0	0	0	0	2.6	2.6	0	0.5	2	0.9	0.1	1.6	0	2.5
E4.5	E45_Hypoblast	Hypoblast	3.17	1.19	0	0	5.1	0	0.2	0	0	3.3	1.1	0	0	0	2.1	0.7	0.4	0	2.3
E4.5	E45_Hypoblast	Hypoblast	1.82	2.26	0	0	4.6	0	0	0.3	0	3.6	3	0	0.2	0	1.4	0	0.2	1.9	2.6
E4.5	E45_Hypoblast	Hypoblast	1.63	-0.11	2.4	0	4	0	0	0	0	0.6	1.2	0	0	0	0	2.5	0	0	0
E4.5	E45_Hypoblast	Hypoblast	3.52	1.7	0.2	0	5.1	0	0	0	0	3.3	1.5	0	1.7	0	0.8	2	1.6	0	1.9
