day	Anno	celltype	UMAP_1	UMAP_2	marker:Bmp4	marker:Fzd4	up:Hand1	up:Foxf1	up:Msx2	up:Msx1	up:Etv2	up:Fos	up:Prdm6	up:Cdx2	up:Hoxb2	up:Hoxd1	up:Isl1	up:Prrx2	up:Irf1	up:Zfp703	down:Sp5	down:Lhx1	down:Mesp1	down:Mesp2	down:Pou5f1	down:Gsc	down:Sox4	down:Mixl1	down:Otx2	down:Eomes	down:Zic5	down:Irx5
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.55	-4.18	0	0	0	2.2	2.2	2.2	2.2	0	0	0	0	2.2	0	0	0	0	3.5	3.5	4.4	0	4.2	0	3.2	3.2	2.2	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.49	4.6	1.6	0	1.6	1.6	1.6	0	1.6	0	0	0	1.6	0	0	0	0	0	0	1.6	4.6	0	4.4	2.6	2.6	2.6	2.9	3.2	1.6	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.59	2.78	0	0	3.2	2.9	2.9	2.9	2.9	0	2.2	2.2	0	0	0	0	2.2	0	0	2.2	4.8	0	3.2	2.9	0	3.7	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.36	-1.58	0	0	2	0	0	3.3	0	2.6	2	0	0	0	2	0	0	0	0	3.7	4.6	0	4	3	2	3.3	3	3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	2.87	4.6	2.9	0	4.1	3.6	0	3.3	4.9	0	2.3	0	0	0	2.3	0	0	0	0	0	4.8	0	4.4	2.3	2.3	3.3	0	3.3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.38	-2.89	0	0	2.3	0	0	1.7	1.7	0	1.7	0	0	0	0	0	0	0	2.6	3.1	4.3	1.7	3.9	1.7	3.6	4	2.3	3.6	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.03	-1.56	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	2	4.2	5	3.3	4.3	3.3	3.3	4.8	2.7	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.68	1.89	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	3.6	2.4	4.6	1.8	4.9	2.8	3.7	4.2	2.4	2.8	0	1.8
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.2	-3.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	2.2	4.4	2.2	2.9	0	2.9	3.5	0	2.9	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.25	3.62	0	0	2.2	0	0	0	1.7	0	0	0	0	0	0	0	1.7	0	3.3	1.7	5.4	3.1	4.7	0	3.9	4.6	0	3.4	2.6	0
