day	Anno	celltype	UMAP_1	UMAP_2	marker:Tnnt2	marker:Myl4	marker:Myl7	up:Bcl11a	up:Nfib	up:Nfia	up:Mecom	up:Tox	up:Foxp2	up:Sox5	up:Npas3	up:Nr3c1	up:Gli3	down:Nr6a1	down:Arid3b	down:Gata4	down:Lin28b	down:Lef1	down:Mef2c
E9.5	E95_First_heart_field	First_heart_field	4.25	1.59	0	4.1	0	0	0	4.8	0	0	0	0	4.1	0	0	0	0	4.1	0	0	5.2
E9.5	E95_First_heart_field	First_heart_field	-0.73	-2.06	4.3	4.3	5	0	0	0	0	0	0	5.4	0	0	0	0	0	5	0	0	5
E9.5	E95_First_heart_field	First_heart_field	-1.85	-2.07	4	4	4.6	0	3.3	0	0	0	3.3	0	0	0	0	3.3	4.4	5	0	0	4.9
E9.5	E95_First_heart_field	First_heart_field	-0.96	-0.36	4.8	4.8	0	0	5.2	4.1	0	0	0	0	0	0	0	0	0	0	4.8	0	5.5
E9.5	E95_First_heart_field	First_heart_field	6.28	1.9	0	3.9	0	0	4.6	3.9	3.9	0	0	0	0	0	0	5.3	0	4.6	4.6	0	0
E9.5	E95_First_heart_field	First_heart_field	-0.53	0.36	0	0	0	0	0	0	5.7	0	0	0	5.7	0	0	0	0	4.6	0	0	0
E9.5	E95_First_heart_field	First_heart_field	4.96	1.62	0	0	0	0	4.7	0	0	0	0	0	0	0	0	5.4	0	4.7	0	4	4.7
E9.5	E95_First_heart_field	First_heart_field	-1.09	4.52	0	0	0	0	0	0	5.6	0	5.6	4.9	0	0	0	4.9	0	0	4.9	0	0
E9.5	E95_First_heart_field	First_heart_field	-7.12	-1.76	0	0	4.1	0	6.7	6.2	0	0	4.1	4.1	0	0	0	0	0	4.7	0	0	0
E9.5	E95_First_heart_field	First_heart_field	1.29	-0.21	6	4.4	0	0	0	4.4	0	0	0	0	0	0	0	5.1	0	0	4.4	0	0
E9.5	E95_First_heart_field	First_heart_field	-1.3	0.82	4.7	4	4	0	5.6	4	0	6.5	0	0	0	0	0	0	0	0	0	0	4
E9.5	E95_First_heart_field	First_heart_field	-7.43	-3.84	2.9	4.6	0	3.9	4.2	5.7	0	0	0	3.9	3.9	0	3.5	5.4	0	4.4	2.9	0	3.5
E9.5	E95_First_heart_field	First_heart_field	-5.65	-5.06	0	0	0	0	0	3.8	0	0	5.7	0	0	0	3.8	0	3.8	5.7	0	0	4.9
E9.5	E95_First_heart_field	First_heart_field	-4.7	-3.09	0	0	0	0	5.3	3.9	3.9	0	5.5	5	5	0	3.9	4.6	0	5	0	0	6
E9.5	E95_First_heart_field	First_heart_field	-2.07	-5.44	5	4.3	5	0	0	0	0	0	0	5	4.3	0	0	0	0	5.7	0	0	0
E9.5	E95_First_heart_field	First_heart_field	2.46	-2.74	4.9	0	3.9	0	5.2	3.9	0	0	0	4.5	0	0	0	0	0	5.6	3.9	4.5	5.6
E9.5	E95_First_heart_field	First_heart_field	-2.26	4.16	4	3.6	5	0	0	0	0	0	3.6	3.6	3.6	0	3	5.1	3.6	0	3.6	3	0
E9.5	E95_First_heart_field	First_heart_field	-1.04	0.73	3.6	5.6	3.6	0	0	0	0	4.3	0	0	3.6	0	0	3.6	0	4.9	0	3.6	0
E9.5	E95_First_heart_field	First_heart_field	6.86	-1.9	3.7	5.1	3.7	0	4.8	4.4	0	0	0	0	4.4	0	0	0	0	3.7	4.8	4.4	5.7
E9.5	E95_First_heart_field	First_heart_field	-5.5	-5.1	0	0	0	0	5.7	5.7	0	0	4.4	0	0	0	4.8	3.7	0	5.6	4.8	0	5.1
E9.5	E95_First_heart_field	First_heart_field	3.45	-1.11	4.1	6.2	0	0	4.1	4.8	0	0	0	0	4.1	0	0	4.8	0	5.9	0	5.2	4.1
E9.5	E95_First_heart_field	First_heart_field	1.55	1.73	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-5.11	-1.43	0	0	0	0	5.6	0	0	0	4.7	0	4.7	0	0	5.1	0	5.4	0	0	4
E9.5	E95_First_heart_field	First_heart_field	5.78	-1.42	3.9	3.2	0	0	4.8	0	0	0	0	0	3.2	0	0	0	3.2	5.4	4.3	0	4.8
E9.5	E95_First_heart_field	First_heart_field	2.55	-4.01	4.3	0	0	0	4.3	0	0	0	4.3	0	3.7	0	4.3	0	0	5	0	0	4.3
E9.5	E95_First_heart_field	First_heart_field	1.89	1.87	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	7.28	0.59	3.7	0	3	3.7	3.7	4.6	0	0	3	0	0	0	0	4.1	3	5.3	3	0	4.4
E9.5	E95_First_heart_field	First_heart_field	6.7	0.85	4.5	3.8	0	0	4.5	0	0	0	0	3.1	0	3.1	0	3.8	0	5.2	0	0	4.7
E9.5	E95_First_heart_field	First_heart_field	-5.31	-0.59	0	0	0	0	3.4	4.5	0	0	5.2	4.1	0	0	5	0	0	5.9	0	0	4.1
E9.5	E95_First_heart_field	First_heart_field	3.75	-2.3	4.4	4.2	2.9	0	3.5	2.9	0	0	0	0	3.5	2.9	0	0	3.9	5.1	0	2.9	4.2
E9.5	E95_First_heart_field	First_heart_field	5.73	-1.25	0	3.5	3.5	0	3.5	0	4.2	4.2	0	0	4.2	0	0	3.5	0	6.2	0	4.9	4.9
E9.5	E95_First_heart_field	First_heart_field	-6.85	-1.83	0	0	0	4.6	3.7	4.6	3.1	0	5.4	3.7	4.1	0	4.4	3.7	3.7	4.6	0	0	4.1
E9.5	E95_First_heart_field	First_heart_field	0.18	-1.88	4.1	0	0	0	0	0	0	0	0	4.1	0	0	0	0	4.1	5.2	0	0	4.1
E9.5	E95_First_heart_field	First_heart_field	-4.28	-4.16	0	0	0	4	4	6	0	0	4.6	4.6	0	0	4	5.6	0	6.3	0	4	4.6
E9.5	E95_First_heart_field	First_heart_field	0.04	-2.58	4.8	4.1	6	0	0	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	5.63	-1.68	4.9	5.3	0	0	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	7.61	-1.86	5.3	0	3.7	0	4.8	3.7	0	0	0	0	0	0	0	0	3.7	4.4	0	3.7	3.7
E9.5	E95_First_heart_field	First_heart_field	-7.6	-1.71	0	0	0	4	6	5.3	0	0	5.9	0	0	0	0	0	0	6.1	0	0	5.3
E9.5	E95_First_heart_field	First_heart_field	-3.04	-0.36	5	0	0	0	0	0	5.5	0	4.4	0	0	0	0	4.4	0	6	4.4	0	0
E9.5	E95_First_heart_field	First_heart_field	-0.21	-2.42	5.2	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0	4.9
E9.5	E95_First_heart_field	First_heart_field	-3.5	-4.15	0	3.3	4.7	0	0	3.3	0	0	4.4	5.2	0	0	0	0	4	4	0	0	4
E9.5	E95_First_heart_field	First_heart_field	-6.31	-3.48	0	0	0	0	0	4.4	0	0	5.1	0	0	0	0	0	0	5.1	0	0	0
E9.5	E95_First_heart_field	First_heart_field	5.87	0.77	3.4	4	0	0	0	3.4	0	0	0	0	4	0	3.4	4.4	0	0	4	0	4
E9.5	E95_First_heart_field	First_heart_field	-6.81	-2.06	4	4	0	0	5.1	6.4	0	0	4	0	0	0	4	4.7	4.7	4	0	0	0
E9.5	E95_First_heart_field	First_heart_field	5.07	-0.47	4.4	4.4	0	0	3.7	5	0	4.8	0	0	0	0	0	0	0	6	0	0	4.4
E9.5	E95_First_heart_field	First_heart_field	-2.71	-1.48	4.3	3.6	0	3.6	5	0	4.3	0	5.4	0	0	0	3.6	5.2	0	3.6	0	3.6	3.6
E9.5	E95_First_heart_field	First_heart_field	2.6	-1.97	4.8	4.2	0	0	0	0	0	0	0	0	0	0	4.2	4.2	0	0	0	4.2	4.8
