day	Anno	celltype	UMAP_1	UMAP_2	marker:Lamb1	marker:Sparc	up:Hand1	up:Tfap2c	up:Myc	up:Gli3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.21	-1.25	3	4.7	0	0.1	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.01	1.31	3.5	5.1	0	0	0.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.24	0.58	3.4	5	0	0	0.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.15	-1.78	3.4	4.8	0	0	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.28	1.58	3.6	5.2	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.15	-3.01	2.9	4.9	0.4	0	1.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.04	-2.32	3	4.8	0	0	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.86	-1.12	2.6	4.9	0	0.1	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.1	0.42	2.9	4.7	2.6	1.4	1.9	1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.07	0.27	3.7	5.6	0	0	0.9	0.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.72	-2.03	2.4	5.5	1.5	0.1	2.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.94	2	3.5	5.2	1.3	0.6	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.05	-0.96	3	5.2	1.7	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.5	-0.38	2.7	4.8	0	0	0.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.89	-1.87	2.8	5.5	1.5	0.9	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.05	-2.11	4.2	5.9	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.77	1.73	3.9	5	0	0	2.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.32	-2.16	3.4	5.7	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.15	0.57	3.4	5	2.9	1.9	1.8	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	-0.66	2.6	5.3	0	2.3	1.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.02	1.38	4	4.7	1.1	1.3	2.1	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.26	-3.67	3.7	5.5	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.87	0.56	3.2	4.8	0	0	0.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.96	-0.81	3	4.8	1.4	1.3	0	0.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.79	-0.44	3.4	5.4	0	0	0	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.46	-3.75	3.9	5.7	0	0	0	0
