day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Bmp4	Dll1	Etv2	Foxc2	Foxf1	Fzd4	Gata4	Hand1	Hes7	Hoxa1	Hoxb1	Irx1	Irx5	Isl1	Meis2	Meox1	Msx1	Msx2	Mycn	Pax3	Tbx1	Tbx6	Tcf15	Tcf21
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	1.97	0.05	1.9	0	0	1.9	2.5	0	0	0	1.9	1.9	0	2.9	0	0	0	1.9	0	3.4	1.9	0	0	0	1.9	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	5.85	-0.42	0	0	0	2	0	2.6	2	2	4.1	0	0	2	0	0	3	2	0	2	2.6	3	0	0	0	0	2
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.71	0.7	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	3.4	0	0	2.7	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-6.63	0.75	0	0	0	0	0	0	0	0	2.4	3.1	0	3.1	0	0	0	0	0	0	0	3.1	0	0	3.1	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.13	-3.96	0	0	1.9	0	0	2.9	0	0	3.7	1.9	1.9	3.6	0	0	1.9	2.9	0	1.9	1.9	2.5	0	0	1.9	0	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.78	4.03	1.9	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	1.9	2.5	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-4.94	0.72	0	0	2	0	0	0	0	0	0	2.6	0	3.3	0	0	0	3.3	0	0	0	3	0	0	3.3	0	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.18	3.81	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-4.76	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.96	-3.24	0	3	1.5	2.1	0	2.8	0	0	3.6	0	0	1.5	1.5	0	0	1.5	0	0	2.8	2.1	0	0	1.5	0	1.5
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	0.77	2.73	0	0	2.4	0	3	1.8	0	0	0	0	0	2.4	1.8	2.4	0	1.8	0	0	0	2.4	0	0	1.8	0	0
E7.5	E75_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-4.8	3.37	0	0	2.6	0	2	0	0	0	0	4.1	3.3	4	0	0	0	3.3	0	0	0	3.5	0	0	3	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-4.97	1.33	0	0	3.1	0	0	0	0	0	0	3.1	1.9	4.1	0	1.9	0	3.9	0	0	0	1.9	0	0	3.4	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-0.79	2.12	0	0	0	2.2	3.5	0	0	2.2	0	0	0	0	0	2.9	0	0	0	0	0	3.5	0	0	2.2	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	0.46	-4.27	0	2.5	0	0	0	3.3	0	0	4.1	0	2.8	3.3	0	0	0	1.8	0	2.5	3.5	2.8	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	0.26	0.07	0	0	0	0	0	2.5	0	0	0	2.5	0	4.2	3.1	0	0	3.1	0	0	3.1	3.1	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	6.1	1.26	0	0	0	0	2.7	1.8	1.8	0	0	0	2.4	1.8	1.8	3.4	2.4	1.8	2.4	2.4	0	4.3	0	0	0	2.4	3
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.36	3.86	2.8	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	3.9	0	1.8	0	3.1	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	2.84	-0.19	2.3	0	0	0	1.4	0	0	1.4	2	0	0	2.6	2.3	0	0	2.6	0	1.4	0	3	1.4	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.45	-3.57	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	2.9	0	3.5	3.8	2.9	0	0	0	0	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.93	1.15	0	0	0	0	0	2.2	0	0	0	0	0	0	0	2.2	0	2.2	0	3.2	2.2	0	0	0	0	2.2	2.2
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.88	0.33	0	0	0	0	0	0	0	2.5	3.9	0	0	0	0	0	0	2.5	0	2.5	2.5	3.1	0	0	0	2.5	1.9
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-2.16	-4.16	0	0	0	0	0	0	0	0	2.4	2.4	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-6.77	1.23	0	0	3.8	0	0	0	0	0	0	4.3	3.8	4.8	0	0	0	3.4	0	0	0	3.4	0	0	0	0	0
