day	Anno	celltype	UMAP_1	UMAP_2	Atp1a2	Epha7	Itga11	Lamc3	Mkx	Nfia	Zfpm2	Zic1	Zic4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.37	-1.63	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.56	0.29	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.04	-0.15	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.45	-4.81	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.62	-0.91	0	6.7	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.34	1.22	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.87	0.28	0	4.5	0	0	0	0	5.2	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.4	-0.56	0	5.3	0	0	3.7	0	0	3.7	3.7
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.8	2.83	0	5	0	0	0	5	0	0	4.3
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.9	-0.29	0	4.6	0	0	0	0	3.9	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.49	0.01	0	0	3.6	0	0	4.3	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.91	4.57	0	4	0	4	0	0	5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.22	2.15	0	5.7	0	0	0	5	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.86	-2.19	0	5.2	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.2	-0.88	0	5.9	0	0	0	0	4.5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.01	-1.96	0	0	0	0	0	5.3	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.17	-1.49	0	0	0	0	0	5.4	5.4	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.45	-4.65	0	0	0	0	0	4.8	0	0	0
