day	Anno	celltype	UMAP_1	UMAP_2	marker:Isl1	marker:Tbx1	up:Nkx2-5	up:Nkx2-6	up:Jun	up:Tlx1	up:Maff	up:Mef2c	up:Arid3b	up:Tsc22d1	up:Etv5	up:Sox9	up:Xbp1	up:Irx2	up:Pax6	up:Hey2	down:Lyar	down:Foxf1	down:Mycn	down:Hoxb1	down:Hoxa1	down:Gata6	down:Osr1	down:Alx1	down:Hoxb2	down:Hoxa2	down:Twist1	down:Hoxd1	down:Meox1
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.59	-4.33	0	0	2.4	0	2.4	0	0	0	0	3.4	0	0	0	0	0	0	3	2.4	3	2.4	0	3.4	0	0	3	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.38	-1.41	0	0	3.8	0	0	0	0	3.3	2.3	3.8	0	0	2.9	0	0	0	3.6	2.3	3.6	0	0	0	0	2.3	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.6	-2.01	0	0	0	0	2.2	0	0	0	0	2.8	0	0	2.2	0	0	0	4.2	0	4.2	2.2	2.2	2.8	0	0	2.2	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	2.74	1.7	1.9	0	0	0	1.9	0	0	0	0	3.2	0	0	0	0	0	0	3.8	4.4	3.4	2.5	1.9	3.6	2.9	1.9	1.9	0	1.9	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.19	-5.26	3.6	2.7	3.6	0	0	0	0	0	2.7	3.6	2.1	2.7	0	0	0	0	4.2	0	3.1	0	0	0	0	3.4	0	0	2.1	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.02	4.28	0	0	3.4	0	0	0	1.9	3.6	0	3.4	0	0	2.9	0	0	0	3.9	1.9	2.9	0	0	2.9	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.55	5.1	0	0	0	0	2.7	0	0	3.8	0	3.8	2.7	0	2.1	0	0	0	3.8	3.1	0	2.1	0	2.1	2.1	0	2.1	2.1	0	2.7	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.71	3.56	2.4	0	0	0	0	0	0	2.4	2.4	3.5	0	0	3.5	0	0	0	3.8	3.1	3.8	0	0	0	0	0	2.4	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.26	3.55	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	2.3	4	2.9	0	2.3	0	3.3	0	0	3.3	0	2.9	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.75	2.56	0	0	1.9	0	0	0	0	0	0	2.6	0	0	1.9	1.9	0	0	4	3.2	3.8	2.9	2.9	2.6	0	3.2	1.9	1.9	0	0	0
