day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxb1	marker:Pax6	marker:Crabp2	up:Hoxa1	up:Cenpa	up:Mis18bp1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.56	3.76	3.2	0	3.6	4.3	3.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.68	2.62	2	0	4.1	3.1	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.89	-3.19	2.6	0	2	0	3.5	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.33	-1.79	0	0	3.6	3.6	1.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.62	2.04	0	0	4.2	3.9	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.16	-0.78	1.9	0	3.6	4.1	3.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.49	-0.91	2.1	0	3.4	2.7	3.1	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.84	-1.21	0	0	4.3	4.1	0	2.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.9	0.41	2.5	0	3.9	3.2	3.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.14	-1.41	0	0	3.5	2.4	3.7	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.58	-3.51	0	0	3	2.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.62	-0.08	0	0	4	3.3	4	2.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.59	0.99	2.2	0	3.9	3.7	3.5	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.01	-2.08	0	0	4.5	3.9	3.6	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.98	0.08	0	0	4.5	4.1	1.9	2.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.94	2.59	2.1	0	3.9	4.5	2.1	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.07	2.54	0	0	4.7	4.6	3.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.52	-2.01	3.6	0	2.6	3.7	3.1	1.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.23	2.45	3.4	0	4.3	4.6	4.3	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.83	2.17	0	0	4.5	4.4	3.4	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.54	2.08	2.6	0	4	4	3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.44	-1.98	2.1	0	3.7	4	2.1	1.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.05	-0.89	0	2.3	4	2.9	2.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.49	-0.95	0	0	4	4.3	3.1	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.73	0.79	0	0	4	3.7	2.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.2	1.9	0	0	4.7	3.3	3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.07	-3.74	0	0	3.6	3.9	2.5	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.6	0.06	2	0	3.6	2	0	2.6
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.32	-1.47	2.6	0	4.3	4.1	3.5	2.6
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.7	2.24	0	0	5.2	4.3	3.5	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.99	-3.27	0	0	2	0	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.86	2.57	0	0	4.1	3.7	3.2	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.05	-0.82	0	1.8	3.1	3.6	3.8	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.13	2.05	0	1.8	5.1	2.8	4.1	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.85	0.01	1.8	0	3.7	1.8	3.8	2.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.11	-3	2.2	0	2.8	2.8	2.8	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.49	-1.11	2	0	4.3	3.8	3	3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.27	-3.22	0	0	3	3	3.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.65	1.15	1.7	0	5.2	4	3.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.5	0.13	3.4	2.1	4	0	3.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.26	-0.4	0	0	3.1	4	2.5	2.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.54	2	2.6	2.6	5.3	3.5	3.3	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.09	0.58	2	0	4.5	3.3	3	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.66	-1.41	0	0	2.9	3.8	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.6	-3.64	2.2	0	0	2.2	3.5	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.56	-2.23	0	0	4	2.5	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.21	-3.34	1.9	0	3.4	0	2.9	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.06	-1.31	0	0	3.9	0	3.9	2.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.69	-1.31	1.6	0	3.2	1.6	3.7	1.6
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.89	3.47	0	2.4	5.1	3.2	4.2	2.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.41	-2.68	3	0	3.3	2.6	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.76	-2.36	0	0	2.2	3.2	3.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.16	1.6	0	2	4.8	4.2	2.6	0
