day	Anno	celltype	UMAP_1	UMAP_2	Apela	Hesx1	Krt8	Tal2
E7.25	E725_Def_endoderm	Def_endoderm	-1.62	1.87	0	0	2.6	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.85	-2.47	0	2.5	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	1.08	0.53	0	0	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.9	-0.43	0	0	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	2.46	-0.49	0	0	4.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.72	0.79	0	3.1	2.8	0
E7.25	E725_Def_endoderm	Def_endoderm	0.15	2.55	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	0.1	-0.09	0	0	2	0
E7.25	E725_Def_endoderm	Def_endoderm	3.75	-0.71	0	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	5.18	0.22	2.1	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	3.88	-0.89	0	0	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	3.54	0.96	0	0	2.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.5	0.34	0	3.4	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.1	4.04	0	0	2.3	0
E7.25	E725_Def_endoderm	Def_endoderm	0.88	-0.28	0	4.1	3.6	0
E7.25	E725_Def_endoderm	Def_endoderm	3.51	1.8	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	6.36	1.5	2.6	0	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	3.47	2.13	2.5	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	5.61	1.34	2.7	0	4	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.19	0.46	0	2.8	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.94	0.79	0	0	3.4	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.19	2.13	0	0	4	0
E7.25	E725_Def_endoderm	Def_endoderm	5.35	1.78	0	0	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	2.18	3.37	0	0	2.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.25	-2.65	0	3.5	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.32	-2.59	0	0	2.8	0
E7.25	E725_Def_endoderm	Def_endoderm	0.67	-0.22	0	2.6	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.8	-0.5	0	2.1	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.4	-2.65	3	0	2.4	0
E7.25	E725_Def_endoderm	Def_endoderm	4.17	1.24	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.83	-1.48	0	2.3	4.6	0
E7.25	E725_Def_endoderm	Def_endoderm	1.87	-0.92	0	4.2	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.3	-2.13	0	2.2	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.48	-3.57	0	3.5	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.52	-0.46	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	2.75	-0.64	0	0	2.9	0
E7.25	E725_Def_endoderm	Def_endoderm	4.54	-1.05	0	2	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.19	-1.72	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	3.1	2.93	0	0	1.8	0
E7.25	E725_Def_endoderm	Def_endoderm	3.09	2.16	0	0	0	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.05	-3.47	0	3.7	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.73	3.63	3.8	0	4	2
E7.25	E725_Def_endoderm	Def_endoderm	2.4	2.62	0	0	2.6	0
E7.25	E725_Def_endoderm	Def_endoderm	3.55	1.75	2	0	2.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.17	-1.11	2.7	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	0.42	-3.62	2.3	0	4.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.22	-0.4	0	0	3.6	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.63	-0.95	0	2.1	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.65	-1.18	0	2.4	3.4	0
