day	Anno	celltype	UMAP_1	UMAP_2	Abcb4	Bcl11a	Etv6	Hba-x	Hbb-bs	Kel	Myb	Nr3c1	Runx1	Slc4a1	Snca	Tspan8
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.25	4.49	0	0	0	8.2	0	4.9	0	0	0	6.9	5.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.17	3.34	0	0	0	9	0	0	0	0	0	5.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.22	1.86	0	0	0	7.4	0	0	0	0	0	5.8	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.42	-1.07	0	0	0	6.6	0	0	0	0	4.3	5.9	5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.18	2.19	0	0	0	7.6	0	0	0	0	0	5.7	4.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.72	-2.34	0	0	5.8	6.5	0	4.7	0	0	0	4.7	6.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.31	4.43	0	0	0	9	0	0	0	0	0	5.1	0	5.1
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.17	-1.77	0	0	0	6.5	0	5.5	0	0	0	5.1	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.8	-4.09	0	0	0	4.8	0	4.8	0	4.8	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.46	3.41	0	0	0	8.4	0	5.4	0	0	0	6.5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.18	-0.14	0	0	0	6.7	0	0	0	0	0	5.9	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.14	-2.32	0	0	0	7.2	0	0	0	0	0	6.8	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.81	0.49	0	0	4.8	7.7	0	5.9	0	0	0	6.8	4.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.3	-3.5	0	0	0	5.9	0	5.9	0	0	0	5.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.05	-0.17	0	0	0	7	0	0	0	0	0	5.9	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.49	-2.82	0	0	0	5.3	0	0	0	0	0	5.3	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.07	-0.03	0	0	0	6.7	0	0	0	0	3.7	4.4	5.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.82	-3.51	0	0	0	0	0	5	0	0	0	0	6.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.58	2.93	0	0	0	7.9	0	4.3	0	0	0	5.2	4.3	0
