day	Anno	celltype	UMAP_1	UMAP_2	E2f4	Hba-a1	Hba-x	Hbb-bh1	Klf1	Klf3	Thra	Ybx3
E7.5	E75_Blood_prog	Blood_prog	1.61	0.61	1.7	0	0	2.7	0	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	3.08	1.01	2.4	0	0	0	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	6.28	-2.73	1.8	0	0	0	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	5.75	2.99	0	0	0	0	1.9	0	0	0
E7.5	E75_Blood_prog	Blood_prog	2.51	1.38	3.1	0	0	2.1	0	0	0	3.1
E7.5	E75_Blood_prog	Blood_prog	-3.41	-1.93	2.8	0	0	4	3.6	0	1.8	0
E7.5	E75_Blood_prog	Blood_prog	0.64	0.61	2.4	0	0	5	2.8	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	5.29	1.14	0	0	0	0	0	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	4.31	-1.21	0	0	0	0	2.4	0	0	3.1
E7.5	E75_Blood_prog	Blood_prog	5.63	1.23	0	0	0	0	2.7	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	-1.5	0.6	3.3	0	0	0	0	0	0	2
E7.5	E75_Blood_prog	Blood_prog	4.98	2.03	2.1	0	0	0	0	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-3.55	-0.23	2.9	0	0	4.2	2.2	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	3.06	-2.18	2.4	0	0	2.4	2.4	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-4.39	-2.92	2.5	0	0	4.8	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	6.23	1.41	2.3	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-0.53	-0.68	3.9	0	0	5.3	1.9	0	0	3.7
E7.5	E75_Blood_prog	Blood_prog	3.6	2.26	2.7	0	0	3.1	0	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	4.23	1.2	2.5	0	0	0	0	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	7.96	1.94	3	0	0	0	2.3	0	0	1.4
E7.5	E75_Blood_prog	Blood_prog	0.06	0.42	2.8	0	2.2	3.2	2.8	0	0	0
E7.5	E75_Blood_prog	Blood_prog	1.75	-1.65	2.8	0	0	0	3.4	0	0	1.8
E7.5	E75_Blood_prog	Blood_prog	-2.74	0.24	3.5	0	0	2.8	3.5	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-4.58	-1.72	3.8	0	0	4.8	3	0	0	3
E7.5	E75_Blood_prog	Blood_prog	6.28	1.36	2	0	0	0	0	0	0	3
E7.5	E75_Blood_prog	Blood_prog	-1.34	0.9	2.3	0	0	0	0	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	5.97	-0.6	2.3	0	0	2.3	0	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	-0.85	1.71	2.8	0	0	0	0	0	2.2	3.2
E7.5	E75_Blood_prog	Blood_prog	-2.16	1.11	3	0	0	5	2.7	0	0	3
E7.5	E75_Blood_prog	Blood_prog	4.6	1.08	0	0	0	3.2	1.9	0	0	1.9
E7.5	E75_Blood_prog	Blood_prog	6.26	-0.53	2.2	0	0	0	0	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	6.06	2.19	2.3	0	0	0	0	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	2.77	0.45	2	0	0	0	2	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-2.34	-2.08	3.2	0	0	0	1.6	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	6.91	-0.32	2.8	0	0	3.6	0	0	2.1	2.1
E7.5	E75_Blood_prog	Blood_prog	2.95	-0.02	2.9	0	0	4.8	0	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	3.9	2.32	2.3	0	0	0	0	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	-0.55	0.69	0	0	0	0	2.8	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	3.5	-1.84	3.1	0	0	2.1	0	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	5.62	2.6	2.6	0	0	0	0	0	0	3
E7.5	E75_Blood_prog	Blood_prog	1.26	-3.09	1.8	0	0	3.6	2.7	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	-2.4	-1.09	3.4	0	0	2.1	2.8	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	4.27	1.37	2.4	0	0	2.8	0	0	0	1.8
E7.5	E75_Blood_prog	Blood_prog	3.13	0.24	0	0	0	1.9	0	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	2.16	0.01	2.1	0	0	0	0	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	-4.39	0.02	2.2	2.8	2.2	5.3	3.5	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-0.79	0.76	3.9	0	0	4	2.1	0	0	3.1
E7.5	E75_Blood_prog	Blood_prog	5.66	-3.12	2.8	0	0	1.8	0	0	0	3.1
E7.5	E75_Blood_prog	Blood_prog	1.93	1.11	2.7	0	0	0	0	0	0	3
E7.5	E75_Blood_prog	Blood_prog	-5.49	0.79	0	0	0	4.2	2.2	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-5.81	1.66	3	0	0	5.4	3.3	0	0	3
E7.5	E75_Blood_prog	Blood_prog	-3.94	-2.14	2.1	0	0	4.2	2.1	0	0	3.1
E7.5	E75_Blood_prog	Blood_prog	2.17	0.83	2.8	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-1.32	1.23	3.4	0	0	2.4	3	0	0	3
E7.5	E75_Blood_prog	Blood_prog	-3.74	-0.3	3.2	0	0	2.9	2.9	0	0	2.6
E7.5	E75_Blood_prog	Blood_prog	-2.29	0.14	2.2	0	0	0	0	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	0.9	3.67	3	0	0	3.8	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	1.97	-1.14	2.9	0	0	3.2	1.9	0	0	1.9
E7.5	E75_Blood_prog	Blood_prog	-2.1	1.65	3.1	0	0	4.6	2.7	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	4.74	2.28	2.3	0	0	0	0	0	2.3	2.3
E7.5	E75_Blood_prog	Blood_prog	-4.12	-2.16	2.1	0	0	2.8	2.8	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-3.45	0.64	2.6	0	0	6.1	2	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	-1.34	0.31	3.4	0	0	3.4	2.8	0	0	0
E7.5	E75_Blood_prog	Blood_prog	6.9	-1.25	2.9	0	0	3.2	0	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	4.07	1.83	2.3	0	2.3	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-0.61	1.74	3.9	0	0	3.9	3	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	2.06	-1.76	2.3	0	0	4.7	0	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	-2.47	-0.5	2.9	0	0	5.8	4	0	0	3.3
E7.5	E75_Blood_prog	Blood_prog	0.42	2.27	0	0	0	0	0	0	0	3.1
E7.5	E75_Blood_prog	Blood_prog	-2.53	-1.16	2.8	2.8	0	5.7	2.8	0	0	3.5
E7.5	E75_Blood_prog	Blood_prog	6.88	-0.8	2.8	0	0	0	0	0	0	1.8
