day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxb9	up:Nkx1-2	up:Sox2	up:Nr6a1	up:Foxb1	up:Lyar	down:T	down:Tbx6	down:Mixl1	down:Snai1	down:Hes7	down:Hand1	down:Klf5	down:Mesp1	down:Msx2
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.73	2.39	2.9	0	0	0	0	0	3.6	0	4.2	0	0	0	0	4.2	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-0.35	4.64	3	0	2.4	0	0	0	3	2.4	3.4	4.5	3	2.4	0	3.4	0	0	3	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.48	3.23	3.8	0	0	0	0	0	2.3	2.3	3.8	3.6	3.6	0	2.3	0	3.6	2.3	3.6	2.9
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-1.87	-1.19	4.3	3.1	0	0	3.1	0	2.4	3.5	4.2	3.1	0	0	0	3.8	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.35	3.24	3.4	0	0	2.3	2.3	0	0	0	3.9	3	2.3	2.3	2.3	2.3	3.4	2.3	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.82	-0.38	3.1	0	0	0	4	0	3.1	0	3.5	3.8	3.1	0	0	2.5	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.39	2.45	3	0	0	2.4	0	0	2.4	0	3.7	3.9	0	0	0	3.9	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-2.21	-1.23	2.2	0	0	2.2	2.2	0	0	0	4.3	4.2	2.2	2.2	0	2.2	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.87	-1.84	4.3	3.5	2.5	3.5	0	0	2.5	3.1	3.5	3.8	0	0	2.5	3.8	0	2.5	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	3.49	1.39	4.3	0	0	3.5	2.4	0	0	0	4.4	4.3	2.4	0	0	0	0	2.4	2.4	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.28	-0.93	3.5	0	0	2.2	0	0	2.9	0	3.9	4.3	2.2	0	0	2.9	0	0	0	0
E8	E8_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-1.43	4.11	3.4	2.4	0	3	0	0	0	0	3.9	2.4	0	0	0	2.4	0	0	0	0
