day	Anno	celltype	UMAP_1	UMAP_2	marker:Amot	marker:Sfrp1	marker:Sfrp5	marker:Hhex	marker:Lefty1	up:Lhx1	up:Eomes
E5.5	E55_EmVE	EmVE	-4.7	-1.67	5.6	4.4	4.5	2.9	2.4	3.9	3.9
E5.5	E55_EmVE	EmVE	-3.5	-0.38	5.3	4.2	4.3	3.4	1.7	4.3	3
E5.5	E55_ExVE	ExVE	1.86	-2.48	4.7	0.8	1.7	1.4	0	1.9	3
E5.5	E55_ExVE	ExVE	2.39	2.42	2.5	0.5	0	3.3	0	0.8	3
E5.5	E55_ExVE	ExVE	0.69	2.49	3.2	1.1	2.6	3	0.3	2.5	2.7
E5.5	E55_ExVE	ExVE	1.21	1.53	3.3	2.7	2.4	2.9	2.1	3.5	3.3
E5.5	E55_ExVE	ExVE	3.53	1.31	3.8	0.2	2	1.9	0.8	1.5	2.9
E5.5	E55_ExVE	ExVE	0.41	0.68	3.6	2	2	2.2	2	2.3	3.4
E5.5	E55_ExVE	ExVE	0.78	1.58	4.5	3	2.4	2.6	2	3.8	3.4
E5.5	E55_ExVE	ExVE	3.22	1.55	4.4	1.5	2.8	2.4	0	2.1	2
E5.5	E55_ExVE	ExVE	2.31	1.81	3.4	1.4	0	3.6	0	1.8	1.4
E5.5	E55_ExVE	ExVE	1.91	1.52	4	1.3	3.5	2.3	0	1.1	2.6
E5.5	E55_ExVE	ExVE	1.6	0.88	2.3	0.9	1.3	3	3.7	3.7	2.9
E5.5	E55_ExVE	ExVE	2.74	1.26	3.8	1.1	2.5	1.6	2.2	2	2.4
