day	Anno	celltype	UMAP_1	UMAP_2	down:Klf6	down:Pitx2	down:Creb3l1	down:Tsc22d1	down:Peg3	down:Snai2	down:Prdm6	down:Tcf4	down:Tead1	down:Zfp711	down:Gata6	down:Hmg20b	down:Zfhx3	down:Purb	down:Tbx20	down:Epas1	down:Pbx1	down:Creb3	down:Myrf	down:Foxp1	down:Mbnl2	down:L3mbtl3	down:Tead4	down:Hlx	down:Dpf3	down:Tcf7l1	down:Gata5	down:Ets1	down:Zeb1	down:Cxxc4	down:Creb3l2	down:Zfp9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.4	0.89	0	0	0	3.2	3.2	0	2.1	0	2.1	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.7	1.38	1.8	1.8	0	3.4	2.4	0	1.8	1.8	0	0	1.8	1.8	1.8	2.4	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.6	1.46	3.2	0	0	2.8	3.7	0	0	2.1	2.1	0	2.1	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.5	4.07	0	0	0	0	2.7	0	0	0	2.7	0	2.7	0	0	0	0	0	2.7	2.7	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.92	2.37	1.9	1.9	0	2.5	2.5	0	2.5	1.9	0	0	0	1.9	0	1.9	1.9	0	0	1.9	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.45	2.19	0	0	0	2.6	2	0	2.6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	2	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.51	0.69	2.5	0	0	1.9	2.9	0	1.9	0	0	0	0	2.5	0	0	1.9	0	0	1.9	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.25	5.21	0	0	0	2.6	3	0	0	0	0	0	0	2	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.46	-2	2.5	0	0	2.5	2.5	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.6	-0.15	3.1	2.1	0	3.4	0	0	2.1	0	0	0	3.1	2.7	0	2.1	0	0	2.1	0	0	0	0	0	0	2.1	0	2.1	0	2.7	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.23	-0.96	2.5	0	0	3.2	1.9	0	2.5	0	0	0	0	0	1.9	0	0	0	1.9	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-5.88	-1.21	1.9	1.9	0	2.9	3.2	0	1.9	0	1.9	0	0	1.9	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.73	-3.28	1.8	0	0	2.4	1.8	0	1.8	0	0	0	0	0	0	1.8	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.58	4.42	0	0	0	2.3	3.3	0	0	0	0	0	0	0	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.67	-1.24	3	0	0	2.4	2.4	0	1.8	1.8	0	0	1.8	1.8	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.39	-1.86	2.8	0	0	2.4	1.8	0	1.8	0	0	0	2.4	2.4	0	0	1.8	0	2.4	1.8	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.31	-0.94	3.4	0	0	3.2	3.6	0	3.2	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.77	1.49	3.6	0	0	2.4	2.7	0	1.8	0	1.8	0	0	0	0	1.8	0	0	1.8	1.8	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.07	0.28	2.7	0	0	3.1	0	0	0	0	0	0	0	2.7	2.1	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.01	3.3	0	0	0	3.3	2.9	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.5	4.72	1.8	0	0	1.8	3	0	0	1.8	1.8	0	0	1.8	0	0	0	0	2.4	1.8	0	1.8	0	0	0	0	0	0	0	1.8	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.71	2.54	0	0	0	2.9	1.9	0	0	2.5	1.9	0	1.9	2.5	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.38	2.64	2.7	0	0	2.3	3.3	0	2.3	0	0	0	0	0	1.7	0	1.7	0	2.3	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.59	-3.02	2	0	2	2.6	2.6	0	2	0	0	0	2	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.54	0.56	2.7	0	0	2.1	3.1	0	3.1	0	0	0	2.1	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.02	4.95	2.2	0	0	2.2	0	0	0	2.2	0	0	0	0	2.2	2.2	0	0	0	2.2	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.47	-1.19	3.2	0	0	2.2	2.9	0	2.2	2.2	0	0	0	0	2.2	0	2.2	0	0	0	0	0	2.2	0	0	0	0	0	0	0	2.2	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.36	2.02	2.1	0	0	3.1	2.1	0	2.1	0	0	0	2.1	2.1	0	0	0	0	0	2.1	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.75	1.3	1.6	0	0	2.6	2.2	0	1.6	1.6	0	0	1.6	2.8	0	1.6	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.28	-1.72	2.3	0	0	0	2.3	0	0	0	0	0	3.6	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.29	-2.78	2	2	0	2	3.7	0	0	0	0	0	2	2.6	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-5.32	-0.61	3.3	0	0	0	3.5	0	2.7	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.9	-2.34	0	0	0	3	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.91	-2.51	0	0	0	2.9	2.9	0	0	0	0	0	2.9	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.84	0.38	1.5	0	0	1.5	2.1	0	1.5	0	1.5	0	0	1.5	0	0	2.1	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.58	-1.09	0	0	0	2.8	2.1	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.88	-0.69	0	0	0	3.1	2.1	0	2.7	0	2.1	0	2.7	0	0	0	0	0	2.1	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.24	4.82	0	0	0	2.5	3.1	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	2.5	0	0	2.5	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.62	-3.58	1.7	0	0	1.7	1.7	0	0	0	0	0	1.7	0	1.7	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.96	2.23	2.4	2.4	0	0	3	0	3	2.4	3	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.01	-0.29	0	0	0	3.2	0	0	2.8	2.2	2.8	0	0	2.2	2.2	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.48	5.27	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.12	-0.56	0	0	0	0	3.4	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.9	-2.6	3	0	0	3	2.4	0	0	0	0	0	0	2.4	0	2.4	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4	-0.14	2.4	1.8	1.8	2.8	3	0	2.8	1.8	0	0	0	2.4	0	0	0	0	1.8	0	0	0	0	1.8	0	0	0	2.4	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	4.12	-1.37	2.6	0	0	2.6	3.7	0	2	0	2	0	2	2	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.99	-2.96	3	0	0	2.6	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.01	4.81	0	2.3	0	2.3	2.3	0	0	0	0	0	2.3	2.3	0	2.3	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.76	3.17	0	0	0	3.5	2.2	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0
