day	Anno	celltype	UMAP_1	UMAP_2	marker:Apela	marker:Krt8	up:Hesx1	up:Tal2	down:Pou5f1	down:Eomes	down:Lhx1	down:Sp5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.17	4.55	3.1	4.6	0	0	4.7	3.1	2.4	4.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.81	-0.67	0	4	0	0	4.6	3.1	3.4	2.8
E7.5	E75_Gut	Gut	-2.82	-1.4	3	5.2	0	2.4	3.7	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.8	-0.57	0	4.2	3.4	0	3.1	2.4	3.4	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.87	-1.85	0	4.3	0	0	2.9	2.9	2.9	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.73	2.11	2	3.7	0	0	4.7	3	3.5	4.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.7	-3.45	0	4.7	2.3	0	3	0	3	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.74	-0.84	1.9	4.4	0	1.9	0	0	1.9	3.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.47	-4.41	0	4.4	0	0	4.5	0	0	4.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.15	0.6	2.1	2.8	0	0	3.6	3.6	3.1	4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.31	-1.2	3.5	4.2	0	0	3.5	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.27	5.03	0	3.1	0	0	4.8	3.1	3.1	4.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.74	-1.22	0	4.5	0	0	2.8	2.4	1.8	3.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.58	-3.15	0	4.3	2.8	0	4.1	2.2	2.2	2.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.75	-2.01	0	5	3.3	2	0	0	2	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.16	-4.58	3.6	5	0	0	3.4	0	0	3.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.06	-1.64	0	4	2.2	0	2.8	0	3.4	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.37	-3.19	0	3.8	3.8	0	3.6	0	3.3	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.58	2.58	0	2.6	0	0	4	1.4	2.3	2.3
E7.5	E75_Gut	Gut	-3.23	-2.33	4.2	5.5	2.5	2.5	0	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	4.11	-1.16	0	0	0	0	4.1	3.4	0	3.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.41	2.14	0	3.6	0	0	3.9	3.1	3.4	3.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.79	-1.74	3.7	4.3	0	0	2.4	1.8	0	1.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.34	-3.78	2.6	4.1	2.6	0	3.5	2	2	2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.67	1.52	1.6	3.4	1.6	0	4.1	0	1.6	3.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.78	2.56	2.2	2.5	2.5	0	4	1.3	2.9	2.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.16	5.54	3.1	3.5	0	0	4.6	0	0	3.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.37	3.43	0	3.2	0	0	4.5	2.9	1.9	2.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.9	0.12	2.8	4.8	3.7	2.8	2.8	0	1.9	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	0.28	-1.26	0	4.3	1.8	0	2.4	2.4	3.1	2.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	5.05	-0.53	2.2	0	0	0	4.5	3.8	0	3.5
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	4.28	-0.96	1.9	2.5	0	0	4.7	2.5	3.4	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.71	4.94	4.6	3	0	0	4.7	3.8	0	2.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.74	-2.7	3.9	5	0	0	2.2	2.2	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-6.35	-0.79	2.9	4.9	0	0	2.7	1.5	0	4
E7.5	E75_Gut	Gut	-2.75	-0.96	2.6	5.4	0	0	0	0	2.6	0
E7.5	E75_Gut	Gut	0.3	1.88	0	5.5	0	0	3.6	0	2.3	2.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.63	0.16	1.7	4	2.3	0	3.9	2.3	0	1.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	3.88	-0.83	0	0	0	0	3.5	3.8	4.1	3.5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.26	-3.32	3.6	4.4	0	2.3	2.9	0	0	2.9
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	3.87	1.45	2	3.5	2	0	4.2	3	3	3.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-6.29	0.18	3.3	5	2.7	0	0	0	0	2.7
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.15	1.17	2.1	4.1	0	0	4.4	0	3.9	3.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.39	-0.25	1.6	4.4	0	0	4	0	0	3.1
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.86	-2.96	2.3	4.4	0	0	0	2.3	0	0
E7.5	E75_Gut	Gut	-2.26	-1.94	3	4.6	4.2	0	3	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.31	0	2.3	4.4	0	0	2.9	0	1.7	4
E7.5	E75_Gut	Gut	-0.13	1.28	0	5.5	2.2	0	3.2	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.27	-0.27	2.8	3.7	0	0	3	1.8	0	3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.6	0.38	3.8	4.1	0	0	1.9	1.9	0	1.9
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.43	4.94	0	3.3	0	0	4.7	0	1.8	3.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4	-2.92	3.6	4.9	0	0	3.3	0	0	3.2
E7.5	E75_Gut	Gut	-3.56	-2.23	4.3	4.9	4	2.4	0	0	2.4	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.59	4.33	2.4	3.7	0	0	4.7	2.4	0	4.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.95	5.33	0	4	0	0	4.5	2.7	0	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.48	-3.22	4.2	4.6	0	0	3.4	0	0	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.29	-2.69	0	3.6	0	0	4.3	3.3	3.3	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.55	-0.38	3.3	5	0	2.1	2.4	0	0	3.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.21	1.9	1.3	2.6	0	2.2	4.4	2.2	2.4	2.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	1.04	4.38	2.4	3.9	0	0	2.4	3.1	0	4.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.84	1.64	2.2	3.3	2.2	0	4.4	2.2	1.6	2.5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-3.81	-3.38	3.4	4.2	0	0	3.4	0	0	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.81	-4.29	3.3	5.1	0	0	2.3	0	3.3	0
