day	Anno	celltype	UMAP_1	UMAP_2	marker:Runx1	marker:Hapln1	marker:Fli1	up:Hoxb2	up:Gata1	up:Gfi1b	up:Lyl1	up:Hoxb4	up:Runx1	up:Ascl2	up:Hoxb5	up:Emx2	up:Bcl11b	up:Hoxb6	down:Etv2	down:Pou5f1	down:Hes1	down:Msx1	down:E2f4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.61	3.07	2.5	3.1	0	3.5	3.5	0	0	0	2.5	2.5	0	0	0	0	0	2.5	0	0	2.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	3.7	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	4.4	3.7	0	3.7
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.03	-0.51	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	2.9	2.9	2.9	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.41	-0.26	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	4.5	0	3.5	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.83	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2	3.9	0	2.9	3.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.69	0.16	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	3.6	0	2.9	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.79	0.23	0	0	0	0	2.9	0	0	2.9	0	2.9	2.9	0	0	0	3.6	0	0	0	2.9
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.28	2.62	2.5	0	0	3.1	2.5	2.5	2.5	0	2.5	0	0	0	0	0	3.5	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.56	2.88	3.5	2.2	0	0	4.2	0	0	0	3.5	0	0	0	0	0	0	0	0	0	3.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.07	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	2.9	0	0	4.2
