day	Anno	celltype	UMAP_1	UMAP_2	marker:Rorb	marker:Trpm3	marker:Epha6	up:Tox	up:Casz1	up:Vsx2	up:Mecom	up:Pou2f2	up:Meis1	up:Dach1	up:Zbtb16	up:Myb	up:Plagl1	up:Zfpm2	up:Npas3	up:Rax	up:Baz2b	up:Zfhx4	up:Zfp532	up:Tbx3	up:Zeb2	down:Mitf	down:Sox5	down:Pax2	down:Sox6	down:Pbx3	down:Otx2	down:Prdm16	down:Meis2	down:Nr2f2
E10.5	E105_Retinal_primordium	Retinal_primordium	2.47	-1.99	0	0	0	0	0	0	5.4	0	5.6	5.6	5.9	0	4.3	0	4.3	0	0	0	0	0	4.3	4.3	6.2	5.4	0	6.2	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.21	-2.69	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4.7	5.8	4.7	0	4.7	0	0	5.3	5.3
E10.5	E105_Retinal_primordium	Retinal_primordium	5.12	1.72	5.7	7.2	5.5	0	0	0	0	0	5.1	6.1	4.4	0	0	0	6.1	0	5.1	0	4.4	0	0	6.1	0	0	5.5	0	4.4	5.5	0	5.1
E10.5	E105_Retinal_primordium	Retinal_primordium	-2.81	-1.97	5.8	5.4	5.4	5.4	0	4.7	0	0	4.7	5.4	5.4	0	0	0	5.4	0	5.4	0	0	4.7	5.4	0	4.7	4.7	4.7	0	0	0	4.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0.09	0.51	5	6.1	0	4.5	0	3.4	4.5	0	4.8	6.1	4.5	0	0	3.4	0	0	4.1	3.4	0	0	0	0	0	0	4.1	3.4	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.5	-1.42	4.4	4.9	0	0	0	0	0	3.4	4.9	4.7	3.4	0	0	0	5.1	0	4.7	0	4	0	3.4	4.9	4	5.8	3.4	5.6	3.4	0	5.1	4.4
E10.5	E105_Retinal_primordium	Retinal_primordium	5.76	1.81	5.1	6.6	4.4	0	0	0	0	0	0	5.1	4.4	0	0	0	0	0	5.8	0	4.4	0	0	4.4	0	0	5.1	5.1	5.5	4.4	4.4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	1.71	-1.29	0	0	0	0	0	0	0	0	5.7	4.3	0	0	0	0	4.3	0	4.3	0	0	0	0	4.3	5.7	4.3	0	6.5	0	0	5	5
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.76	-1.38	0	5.7	0	4.1	0	0	0	0	4.8	6.6	4.8	0	0	0	0	0	4.8	0	4.1	0	0	0	0	0	0	0	0	0	4.1	0
E10.5	E105_Retinal_primordium	Retinal_primordium	4.5	1.17	0	6.4	0	5.1	0	0	0	0	0	4.4	0	0	0	0	0	0	4.4	0	4.4	0	0	0	0	0	5.1	5.5	0	4.4	5.1	0
