day	Anno	celltype	UMAP_1	UMAP_2	marker:Sim1	marker:Pax2	marker:Mecom	up:Dach1	up:Prdm16	up:Grhl2	up:Hnf1b	up:Tfap2a	down:Tshz2	down:Zeb2	down:Zeb1	down:Meis1	down:Ebf1	down:Nr2f2	down:Osr1	down:Meis2	down:Pknox2	down:Hoxa3	down:Zfhx4	down:Hoxc4	down:Tshz1	down:Foxp2	down:Zfp516	down:Zbtb16	down:Foxn3	down:Bnc2	down:Pbx1	down:Hoxa5	down:9430076C15Rik	down:Wt1	down:Hoxc5	down:Rora	down:Hoxc6
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-2.91	2.08	3	5.3	5.3	4.1	0	0	0	0	4.1	0	0	3.7	0	0	0	5.2	0	3	0	0	3	0	3.7	4.6	0	0	5.3	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	2.99	-1.11	0	3	3.4	4.2	0	0	0	0	5.1	4.3	4.2	5.6	4	0	3	5.7	5.1	3.8	4.3	3.4	3	2.3	0	4.3	2.3	0	6.2	0	2.3	0	0	2.3	2.3
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-2.07	4.26	4.4	5.5	5.7	4.6	0	0	0	3	4.1	0	0	0	3	3.7	0	4.1	0	0	3	0	0	0	3	0	3	0	3.7	3.7	0	0	0	3.7	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-1.08	0.95	3.3	5.1	0	5.3	0	0	0	0	4.2	2.3	3.3	4.8	4.7	4.6	0	4	2.9	0	3.8	0	3.8	4	0	0	3.3	3.6	5.9	2.9	0	0	0	3.8	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-0.85	-4.13	0	4.6	0	5.5	0	0	0	0	5.6	0	0	4.8	0	5.4	0	4.8	4.6	0	0	0	3.5	0	3.5	0	5.1	0	5.6	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	4.76	1.69	3.1	3.1	1.8	4.3	0	0	0	0	4	4.7	3.9	4.9	3.1	3.9	3.3	5.4	4.1	3.1	3.6	1.8	2.8	0	3.5	2.8	3.5	3.6	5.5	0	2.5	1.8	0	3.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.47	-1.04	0	4.2	0	2.5	0	0	0	0	5.5	3.5	3.5	4.8	5	4.2	3.1	5.4	4.2	3.1	2.5	4.4	0	2.5	3.1	3.8	3.5	3.5	4.8	2.5	2.5	3.1	0	5.1	2.5
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.79	-0.68	0	3.3	0	5	0	0	0	0	5	0	4.3	4.7	3.7	4.3	0	6.8	2.6	4.5	3.9	4.8	3.3	0	4.3	3.3	2.6	0	5.8	0	2.6	3.9	0	2.6	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	2.94	2.8	2.3	2.3	0	4.5	0	0	0	0	4.2	4.2	0	4.9	3.3	4.3	4.4	5.5	2.3	2.9	3.3	0	2.3	3.3	0	2.3	0	3.6	5.7	4	0	0	0	4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	0.6	1.79	0	3.2	0	4.6	0	0	0	0	4.1	2.5	0	4.5	3.6	3.8	3.6	6.3	3.8	2.5	3.2	2.5	3.6	4.5	3.2	0	3.6	4.8	6.7	0	3.8	0	2.5	4.2	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-2.6	3.02	0	5.4	4.7	4	0	0	0	0	4.7	2.6	2.6	5.1	2	2.6	2	5	2.6	2	3.3	3.3	2.6	3	2.6	0	3.6	2	5.6	3.8	0	0	0	5.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.26	3.79	0	5.6	0	2.8	0	0	0	0	4.8	3.6	3.1	3.6	4.6	2.8	0	5.5	3.1	2.1	2.1	2.1	3.6	3.6	0	2.1	3.4	2.8	5.7	3.1	0	0	0	2.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	3.55	-1.82	0	3.5	0	4.5	0	0	0	0	2.5	3.1	4	5	3.5	4	2.5	5.4	3.1	0	2.5	3.1	0	0	3.8	0	3.1	0	6.4	0	2.5	0	0	3.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	3.8	0.71	3	4.4	0	3.7	0	0	0	0	0	4.4	3.7	3	0	3	3.7	6	4.8	3.7	3	0	3	0	3	3	0	0	5.2	0	0	0	0	3	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	6.32	2.83	0	0	0	6	2.1	0	0	0	4.6	3.1	2.7	5.4	2.1	2.1	2.7	5.1	0	0	3.1	0	3.4	2.1	3.1	0	2.7	0	5.5	0	2.7	0	0	3.8	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	3.9	-1.53	0	0	0	4.2	0	0	2.2	0	4.9	4.3	2.9	5.1	3.9	3.3	1.6	5.7	3.9	2.9	3.4	3.7	2.9	2.6	3.8	1.6	3.8	0	5.7	0	2.6	2.6	1.6	3.5	1.6
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-0.54	4.07	2	5.3	2.7	2.7	0	0	0	0	5.1	2.7	2.7	4.5	0	2.7	3	4.6	2.7	2	3	3.5	2	0	2	2	0	2.7	4.9	2.7	0	0	0	3.3	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-1.9	2.6	0	5.1	4.7	3.7	0	0	0	0	4.9	2.8	2.8	3.7	2.2	3.2	0	5.4	3.7	0	3.2	2.2	3.7	2.2	2.8	0	2.2	3.2	5.9	2.2	0	0	0	4.3	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.85	1.37	3.8	4.1	0	3.9	0	0	0	0	5.3	3.9	3.9	4.8	5.7	3.8	3.9	5.1	0	3.6	2.9	2.9	0	3.2	3.6	2.6	3.8	0	5.8	2.6	0	0	0	4	2
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	2.69	-2.12	0	0	0	3.9	0	0	0	0	4.5	3	4.2	4.7	5.6	4.9	3.9	5.6	2.4	3	2.4	3.7	3	2.4	3.4	2.4	3.4	2.4	5.1	0	3	2.4	0	3.7	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.09	-0.84	0	4.6	2.5	3.9	0	0	0	0	5	3.9	4.3	5.4	5.8	3.9	3.6	6.1	2.5	3.6	3.6	4.4	2.5	0	3.2	3.9	3.6	0	5.8	0	0	0	0	3.6	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	5.21	1.93	0	4.3	3.1	4.4	0	0	0	0	2.4	4.2	3.1	4.7	0	4.3	2.4	6	4	2.4	4.2	0	3.1	2.4	3.1	3.1	4.2	5.2	5.2	2.4	2.4	0	0	3.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-1.05	2.41	0	6	3.3	5.1	0	0	0	0	5.7	4.2	2.6	4	0	2.6	0	4	0	3.7	3.3	3.3	0	0	3.3	3.7	4	2.6	5.6	0	0	0	0	4.9	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-3.71	4.1	0	5.1	4.7	4.3	0	0	0	0	4.7	3.7	0	3.7	0	3	3	3	0	0	3	3	3	0	3	0	0	0	3	3	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-0.44	1.68	0	3.2	0	4.5	0	0	0	0	2.9	3.2	2.9	4.2	0	1.9	2.9	5.5	4	1.9	3.4	0	3.2	0	2.9	2.6	2.9	4.2	5.7	0	2.9	1.9	0	3.6	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	6.72	2.29	2.7	4.4	0	4.4	0	0	0	0	4.3	4.6	3.8	4.4	4.4	3.8	0	5.8	3.4	3.4	2.7	0	2.7	0	3.4	0	3.4	2.7	6	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	0.54	3.56	2	4.7	3.5	3.8	0	0	0	0	4.2	0	4.7	4	2.6	3.8	2.6	5.2	3.5	0	2.6	0	2	2	3	0	2	0	5	3	2.6	0	0	4.7	0
