day	Anno	celltype	UMAP_1	UMAP_2	Bach2	Cpa2	Dach1	Dll1	Fgf10	Hes7	Hoxa1	Hoxb1	Lmx1b	Mecom	Meis2	Meox1	Msx1	Pax2	Pax8	Prrx1	Sim1	Tbx6	Tshz2	Wnt5a
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-4.43	-5.99	4.3	0	4.3	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	6.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.25	-7.04	0	0	5.5	0	4.4	0	0	0	5.1	6.3	5.1	0	4.4	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.04	-0.47	0	0	0	0	5	0	0	0	0	5	5	0	0	0	0	5	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-0.57	-2.08	0	0	0	0	4.9	0	0	0	0	0	4.9	0	0	0	0	0	0	0	5.6	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.15	-6.78	5.8	0	4.9	0	4.9	0	0	0	4.9	4.9	6	0	0	0	0	4.2	0	0	6.8	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	2.35	0.85	0	0	5	0	0	0	0	0	0	0	5.7	0	0	0	0	0	0	0	0	5
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.68	0.21	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	5.1
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.67	3.92	0	0	6	0	0	0	0	5.3	0	0	6.9	0	0	0	0	0	0	5.3	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.46	-2.02	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0	5.4	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.71	0.69	0	0	5.5	0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	4.8	0
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-3.22	4.19	0	0	6.9	0	0	0	0	0	0	0	5.2	0	0	5.2	5.2	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.75	-7.42	6	4.2	4.2	0	5.3	0	0	0	4.2	4.9	7.1	0	0	0	0	4.2	0	0	6.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.25	-6.81	4.8	0	5.2	0	0	0	0	0	4.8	4.1	5.5	0	5.7	0	0	4.1	0	0	4.1	0
