day	Anno	celltype	UMAP_1	UMAP_2	Atf3	Cdh5	Cebpd	Elk3	Kdr	Klf7	Pecam1	Xbp1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.02	-1.81	0	0	0	1.9	3.3	1.9	1.9	1.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.64	4	0	0	0	0	2.7	2.1	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.17	-2.28	3	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.55	-2.8	2.6	0	0	0	2	0	0	2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.98	4.16	0	0	0	0	3.1	0	0	1.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.88	0.07	0	0	0	0	2.7	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.24	4.46	0	0	0	0	0	0	0	1.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.65	-0.01	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.93	1.66	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.96	-0.55	1.9	0	0	0	3.1	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.49	-1.93	0	0	0	0	0	0	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.6	-1.43	0	0	0	2.1	2.7	0	2.1	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.02	3.81	2.1	0	0	0	2.1	0	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.48	2.5	0	0	0	0	2.4	0	0	3.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.45	2.81	0	0	0	0	3.2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.08	3.01	0	0	2.2	0	2.2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.73	4.23	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.08	-2.22	0	0	0	0	0	1.7	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.61	-1.37	0	2.1	0	0	2.1	0	0	2.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.66	-2.23	0	2	2	0	2	0	2.7	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.07	4.57	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.46	3.44	0	0	0	0	3.7	1.9	1.9	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.02	2.54	0	0	0	0	2.1	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.93	3.43	0	1.8	0	0	1.8	0	0	2.5
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.11	2.74	0	0	0	0	1.7	0	1.7	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.7	0.23	0	0	0	0	2.8	2.2	0	3.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.68	3.65	0	0	0	0	0	2.2	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.98	1.33	0	0	0	0	0	0	2.1	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.96	-2.49	0	1.9	0	0	2.9	0	0	2.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.48	-1.15	0	0	0	0	0	0	2.2	2.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.65	4.05	0	0	0	1.5	2	0	0	2.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.83	-3.22	0	0	2.2	0	0	0	2.2	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.24	3.8	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.31	-2.58	0	0	0	1.9	2.5	0	1.9	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.96	-3.37	0	0	0	0	2.2	0	2.2	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.41	-2.73	0	0	0	0	2.4	0	0	1.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.18	-1.2	0	1.9	0	1.9	2.5	0	0	2.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.03	1.91	0	0	0	0	1.9	1.9	0	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.6	4.54	0	0	0	0	0	0	0	3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.44	0.61	0	2.6	0	0	2	0	2	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.72	-0.38	0	0	0	0	2.9	2.3	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.31	2.67	0	0	0	0	3.3	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.25	3.3	0	0	0	1.8	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.53	4.53	0	0	0	0	1.6	0	0	2.5
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.16	3.52	0	0	0	1.9	0	0	0	2.5
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	5.06	-1.61	0	0	0	0	1.9	0	1.9	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.5	1.06	0	0	0	0	3.3	0	0	2.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-5.55	2.19	0	0	0	0	2.6	0	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.64	0.11	0	0	0	0	2.6	0	0	1.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.49	-2.93	0	0	0	0	0	0	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.2	1.94	0	0	0	0	2.2	0	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.24	-0.77	0	0	0	0	0	2.1	0	2.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.99	3.65	0	0	0	2.9	2.2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.96	-0.11	0	0	1.9	0	2.9	0	0	1.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.85	2.27	0	0	0	0	0	0	0	3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.88	1.78	0	0	0	0	2.3	0	1.7	1.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.64	0.56	0	0	2.2	0	2.8	2.2	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.33	-2.23	0	0	0	0	2.3	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.62	-4.68	0	0	0	0	2.6	0	2.6	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.04	-1.79	0	0	0	0	3.7	2.4	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.26	3.62	0	0	0	0	0	0	1.8	2.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.38	0	0	0	0	3	3	0	0	2.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.76	-2.64	0	0	0	0	0	0	0	2.4
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.24	1.54	0	0	0	0	2.4	0	2.4	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.35	-3.25	0	2	0	0	2	0	3.5	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	5.64	-2.12	0	0	0	1.6	2.2	1.6	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.25	-1.71	0	0	0	0	2.7	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.2	1.63	0	0	0	0	3.3	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.6	-2.02	0	2.5	1.9	1.9	2.5	2.5	0	2.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.18	1.13	0	0	2.2	0	0	0	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.86	-3.25	2.3	2.3	0	2.3	3.3	0	0	3.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.72	-0.84	2.1	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.75	-1.37	1.9	0	0	0	1.9	1.9	0	1.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	5.36	-1.88	0	1.8	0	0	1.8	2.8	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.37	1.8	0	0	0	0	2	0	0	0
