day	Anno	celltype	UMAP_1	UMAP_2	Casz1	Epha6	Mecom	Mitf	Oca2	Pou2f2	Rora	Rorb	Sox6	Trpm1	Trpm3	Tyr	Vsx2	Zfp385b	Zmat4
E10.5	E105_Retina_primordium	Retina_primordium	4.42	-0.99	0	0	0	5.3	5.3	0	0	0	0	5.9	6.3	5.9	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.14	0.13	0	0	0	0	5.1	0	6	4.4	0	4.4	6.8	6	0	0	5.1
E10.5	E105_Retina_primordium	Retina_primordium	3.03	-3.18	0	0	0	0	0	0	5.3	0	5.3	0	6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.09	-0.66	0	0	0	6.8	5.6	0	6.9	0	5.6	4.9	7.2	6.7	0	4.9	0
E10.5	E105_Retina_primordium	Retina_primordium	2.34	0.86	0	0	0	0	0	5.2	5.2	0	0	0	5.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	0.94	3.56	0	4.8	6.7	4.8	0	0	0	4.8	0	0	5.9	4.8	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.38	0.29	0	0	0	5.3	6	0	6	4.7	4.7	5.3	6.6	6	0	0	4.7
E10.5	E105_Retina_primordium	Retina_primordium	5.8	1.03	0	0	0	0	0	0	5.8	0	0	0	5.2	5.2	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.52	0.47	0	0	0	6.7	4.4	0	5.8	0	4.4	5.1	5.8	5.5	0	4.4	4.4
E10.5	E105_Retina_primordium	Retina_primordium	6.52	0.29	0	0	0	7	5.4	0	6.5	4.7	4.7	4.7	6.9	5.8	0	0	4.7
E10.5	E105_Retina_primordium	Retina_primordium	6.11	-1.89	0	0	0	4.8	4.8	0	5.9	4.8	4.8	0	6.2	6.4	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.8	-5.64	0	4.1	0	0	0	0	4.8	0	5.4	5.2	5.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.28	-1.89	0	0	4.7	0	0	0	0	0	4.7	6.1	5.8	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.29	0.92	0	0	0	4.6	0	0	4.6	0	0	4.6	6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.97	-0.02	0	0	0	6.3	0	0	0	0	0	5.2	7.1	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.6	-0.25	0	5.2	0	0	5.9	0	7.2	0	6.6	5.2	6.3	5.2	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.1	1.36	0	0	0	0	4.9	0	6.3	0	0	4.9	6.5	0	0	4.9	0
E10.5	E105_Retina_primordium	Retina_primordium	2.94	2.51	0	0	5.9	0	0	0	0	0	4.8	4.8	7.3	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.32	0.15	0	0	0	0	6	0	6	0	0	0	6.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.05	0.88	0	5.2	5.9	0	0	0	5.2	0	0	5.2	7.4	0	0	0	5.2
E10.5	E105_Retina_primordium	Retina_primordium	4.76	0.41	0	0	0	5	5	0	0	0	0	0	6.4	5.7	0	0	5
E10.5	E105_Retina_primordium	Retina_primordium	2.61	3.58	0	4.1	4.8	4.1	4.1	0	0	0	4.1	0	6.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	0.44	-0.66	0	0	0	0	0	0	5.3	0	0	5.3	6.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.63	-0.04	0	0	6.8	6	5.9	0	6.4	0	5.7	5.2	4.8	5.2	0	5.7	4.1
E10.5	E105_Retina_primordium	Retina_primordium	1.95	-2.69	0	0	0	0	0	0	4.4	0	5.1	0	4.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.08	-3.45	0	0	0	5.4	0	0	0	0	0	5.4	5.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.72	0.83	0	6	0	0	5.3	0	6.7	0	6	0	6.4	6	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.82	-0.17	0	5.1	0	6.2	5.1	0	5.1	5.1	5.8	5.1	7.6	5.8	0	5.1	0
E10.5	E105_Retina_primordium	Retina_primordium	5.81	-1.31	0	0	0	0	6.1	0	6.8	5.4	5.4	6.5	6.8	6.5	0	5.4	0
E10.5	E105_Retina_primordium	Retina_primordium	2.21	-4.82	0	0	0	4.6	0	0	4	4.6	4.6	4	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.72	-1.4	0	0	5.3	6.4	5.3	0	0	0	0	6	5.3	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.3	-2.79	0	0	0	5.3	0	0	4.2	5.3	4.9	6.4	6.6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.91	-1.77	0	5.3	0	0	0	0	5.3	0	6.4	0	6.7	6	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.45	-0.29	0	0	0	5.1	6.5	0	0	0	5.1	0	6.5	5.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.25	-1.89	0	0	0	0	0	0	5.1	0	0	5.1	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.05	-1.21	0	0	0	5	0	0	6.4	0	0	5	5.7	0	0	0	5
E10.5	E105_Retina_primordium	Retina_primordium	-1.15	-0.99	0	0	0	0	0	0	0	0	0	0	4.8	4.8	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.27	-0.39	0	5.1	0	0	6.2	0	5.8	0	0	0	6.2	5.8	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.32	-1.48	0	0	0	0	0	0	0	0	5.1	5.1	6.9	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.95	-0.03	0	6.6	0	0	0	0	5	0	5	6.1	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.44	-0.94	0	5.1	0	6.2	5.1	0	5.1	5.1	0	0	6.7	5.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.69	1.31	0	0	0	5.1	5.1	0	5.8	5.1	0	0	5.1	0	0	0	5.1
E10.5	E105_Retina_primordium	Retina_primordium	6.8	1.7	0	0	0	0	5.4	0	7	5.4	0	5.4	6.8	6.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.44	-1.54	0	0	4.1	5.9	0	0	4.8	0	4.8	5.7	6.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.38	0.07	0	0	0	4.9	6.5	0	6.5	0	6.7	4.9	7.4	6.7	0	4.9	0
E10.5	E105_Retina_primordium	Retina_primordium	7.33	-0.3	0	0	0	5.5	6.2	0	6.5	0	6.2	4.1	6.3	6.3	0	5.2	0
E10.5	E105_Retina_primordium	Retina_primordium	6.53	-0.3	0	0	0	5.4	6.8	0	0	0	0	0	6.5	5.4	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.86	0.35	0	0	0	4.6	0	0	5.3	0	0	4.6	6.8	0	0	4.6	0
E10.5	E105_Retina_primordium	Retina_primordium	6.72	-0.08	0	0	0	5.4	6.4	0	5.4	0	6	0	6.4	7.3	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.61	1.8	0	0	0	6.5	5.2	0	4.5	0	0	5.6	6.7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.56	-0.46	0	0	5.2	7	5.2	0	0	0	5.9	0	6.3	6.3	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.82	-0.34	0	0	0	4.9	4.9	0	0	0	4.9	5.5	7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.51	1.06	0	0	0	5.9	5.9	0	5.9	0	5.2	5.2	6.4	6.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.83	-1.3	0	0	0	5.3	0	0	5.3	5.3	5.3	0	5.9	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.82	-0.54	0	0	0	0	5.8	0	5.8	5.1	5.8	6.2	7.6	6.2	0	5.1	0
E10.5	E105_Retina_primordium	Retina_primordium	3.29	-1.9	0	0	0	4.6	0	0	4.6	4.6	0	0	6.3	4.6	0	0	0
