day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx4	marker:Hoxa11	up:Pitx1	up:Hoxc9	up:Hoxa10	up:Hoxa9	up:Hoxa7	up:Hoxc8	up:Prrx2	up:Smad7	up:Twist1	up:Snai1	up:Twist2	up:Gata5	up:Bbx	up:Hoxc10	up:Smarca1	up:Zfx	up:Hey2	up:Hoxc11	up:Jun	up:Gata4	up:Tcf21	up:Smad6	up:Klf14	up:Tbx2	down:Mesp1	down:Pou5f1	down:T	down:Hoxb1	down:Foxf1	down:Mixl1	down:Evx1	down:Sub1	down:Cdx2	down:Cdx4	down:Irf1	down:Msx2	down:Foxo4	down:Cdx1
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.3	2.06	0	0	0	0	0	0	0	0	2	2	0	3.6	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	3	2.6	0	2	4.5	3.2	3.2	0	3	0	3.2
E7.75	E775_Allantois	Allantois	-5.26	1.39	0	0	3.4	2.4	2.4	3.1	0	2.4	3.1	3.4	2.4	3.1	3.1	0	3.4	0	0	0	0	0	2.4	2.4	2.4	2.4	0	0	0	0	0	0	0	0	0	4.3	0	0	0	3.1	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.7	-1.39	0	0	3.5	2	2.6	2.6	2	0	2	0	0	2.6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	5	3.5	3.3	0	3.3	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-2.14	0.35	0	2.3	3.1	2.9	3.5	2.9	2.7	3.1	1.7	1.7	1.7	0	2.7	0	0	1.7	2.3	0	2.3	0	2.7	0	0	0	0	0	0	0	0	0	2.3	0	0	4.9	2.3	4	0	3.1	2.3	2.7
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.61	-0.52	0	2	3	0	4.2	3	0	3.3	2	2	0	3.3	2	0	3.3	2	2	3	0	0	2	0	0	0	0	0	0	2.7	2	2	2.7	2	2	5.1	4.1	4.1	0	0	2	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.13	-1.21	0	2.6	0	2	3	2.6	3.2	0	0	2.6	0	3	0	0	2.6	0	2	0	0	0	2.6	0	0	0	0	0	3.6	3.2	2.6	2	3.5	3.2	3.5	4.5	4	3.6	0	3.2	2	3.6
E7.75	E775_Allantois	Allantois	-3.17	0.05	1.8	1.8	3.2	1.8	0	3.6	2.4	2.8	2.4	3.2	0	2.8	1.8	2.4	2.8	0	2.4	0	0	0	2.4	1.8	0	0	1.8	0	0	0	0	0	3	0	0	4.2	2.4	2.4	0	1.8	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.32	1.17	2	2	2	0	3.3	0	0	2.6	2	2.6	2	2	0	0	0	2	0	2	0	0	0	2.6	0	2	0	2	3.3	2.6	2	2	2	0	3	4.4	3.3	3.5	0	3	0	0
E7.75	E775_Allantois	Allantois	-4.03	0.08	2.8	2.4	3.4	0	3.1	0	3.4	1.8	0	3.1	2.4	0	2.8	2.4	1.8	0	0	1.8	0	1.8	1.8	2.4	0	1.8	0	0	0	3.1	0	0	1.8	0	1.8	4.8	1.8	0	0	2.8	0	0
E7.75	E775_Allantois	Allantois	-4.03	1.92	3	0	3	0	2.4	3.4	0	3	2.4	2.4	3.4	0	0	2.4	2.4	0	0	2.4	0	0	2.4	0	0	0	2.4	0	0	0	0	0	2.4	0	0	5.2	0	0	0	0	0	0
E7.75	E775_Allantois	Allantois	-3.2	2.95	0	2.4	3.3	0	3.7	3.3	0	3.1	1.8	2.4	0	3.6	1.8	1.8	1.8	0	2.4	0	0	0	0	1.8	2.4	1.8	0	0	0	0	0	0	3.1	0	1.8	5	3.4	2.4	0	3.3	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.22	-0.51	0	0	1.8	1.8	0	0	2.4	0	1.8	2.4	0	2.8	0	0	0	0	0	0	0	0	1.8	1.8	0	1.8	0	0	2.4	2.4	2.4	3	3.2	0	2.4	5.1	3.6	3.9	0	2.4	0	4
