day	Anno	celltype	UMAP_1	UMAP_2	marker:Fstl5	marker:Dscaml1	marker:Lhx2	up:Myt1l	up:Uncx	up:Ebf2	up:Aff3	up:Emx2	up:Nfib	up:Tshz1	up:Ncoa1	up:Fezf1	up:Klf12	up:Pbx1	up:Ebf3	up:Tshz3	up:Zfp608	up:Lcorl	up:Mxi1	up:Foxo6	up:St18	up:Mbd2	up:Foxp1	up:Arid5b	down:Zeb2	down:Setbp1	down:Isl1	down:Pou4f1	down:Zeb1	down:Meis2	down:Tcf4	down:Rora	down:Onecut1	down:Foxn3	down:Neurod1	down:Nr2f2
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.02	4.11	0	0	0	0	0	5.3	5.3	0	0	0	4.4	0	0	5.5	3.7	3.7	4.4	4.4	0	0	0	0	3.7	0	6	6.3	0	4.4	4.8	5.5	5.8	5.1	4.4	0	4.8	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.71	-4.6	3.2	4.3	0	0	0	5	0	0	0	0	0	0	3.9	4.6	5.3	0	3.9	4.8	0	0	5.3	0	4.8	0	5.4	6.2	4.8	0	3.2	5.1	0	4.6	3.2	5.9	3.9	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.07	3.14	0	3.9	0	0	0	5.3	0	0	0	0	5	0	4.6	4.6	0	0	0	5.5	3.9	0	0	0	0	3.9	0	6.6	3.9	4.6	6.2	5	5.3	0	0	0	4.6	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.67	-2.81	0	4.9	0	0	0	0	4.5	0	0	0	0	0	0	3.8	5.2	0	0	0	0	0	0	0	5.4	0	5.6	6.9	0	5.2	4.5	0	5.2	3.8	4.5	5.6	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-1.62	5.44	0	5.7	0	4.3	0	5.9	4.3	0	0	0	3.6	0	4.7	5	5.4	0	5	5	0	0	4.7	0	5.9	0	6.5	6.5	5	3.6	5.4	0	4.7	3.6	0	5	5.8	4.7
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.89	1.09	0	0	0	0	0	6.1	0	0	0	0	0	0	0	5.8	0	0	0	4.7	0	0	0	0	5.4	0	0	5.8	0	5.8	0	0	4.7	0	0	0	4.7	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-5.33	4.78	0	0	0	0	0	5.7	5.7	0	0	0	5.3	0	0	6.4	0	0	0	0	0	0	5.3	0	5.3	0	5.7	6	0	0	0	4.6	6	4.6	0	4.6	6.4	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.24	-1.24	0	0	0	0	0	4.7	0	0	0	0	0	0	4.7	5.7	5.6	0	0	4	4	0	0	0	0	0	5.3	5.7	5.3	0	5.6	4.7	0	4.7	0	6	4.7	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.44	3.05	0	0	0	0	0	4.8	3.7	0	0	0	0	0	0	4.8	0	0	4.8	4.4	0	0	3.7	0	0	0	4.8	6.4	0	3.7	5.1	5.3	0	3.7	0	3.7	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	2.33	-0.38	0	4.8	0	0	0	5.5	0	0	0	0	0	0	4.8	5.5	5.2	0	4.8	5.2	0	0	0	0	4.1	0	6.9	6.3	5.7	4.8	5.2	0	5.7	4.1	0	4.8	4.8	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.77	1.23	0	0	0	0	0	5.8	0	0	0	0	0	0	0	6.2	3.9	0	4.6	3.9	0	0	0	0	4.6	0	5	6.4	3.9	5	5.3	0	5.5	0	0	5.7	3.9	5
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	2.64	2.4	0	0	0	0	0	4.8	4.8	0	0	0	0	0	0	4.8	0	0	0	4.2	0	0	0	0	4.2	0	0	6.3	0	0	5.9	4.2	4.8	4.8	4.8	0	5.2	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.6	3.23	0	0	0	0	0	5.9	6.4	0	0	0	0	0	4.8	4.1	4.1	0	0	0	0	0	0	0	0	0	5.5	6.4	0	0	0	0	5.7	4.8	0	5.7	0	4.8
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-6.34	6.15	0	0	0	0	0	0	4.7	0	0	0	0	0	4.1	4.7	5	0	5	0	0	0	5.2	0	4.1	0	5.4	6.4	4.1	0	5.7	5.4	5	4.7	3.4	5.8	0	4.1
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.38	1.17	0	0	0	0	0	5	0	0	0	0	0	0	0	5.4	5	0	0	5.9	0	0	5	0	0	0	5.4	5.7	0	4.3	0	0	5.4	5.7	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.09	-5.52	0	3.9	0	0	0	5	3.9	0	0	0	4.3	0	4.6	5.8	5.7	0	4.8	0	0	0	0	0	3.9	0	5.2	6.8	0	0	4.3	5.8	4.8	4.3	4.8	3.2	0	3.9
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.69	3.03	0	4.4	0	0	0	4.4	5.1	0	0	0	4.4	0	0	5.8	0	0	0	5.1	0	0	0	0	0	0	5.1	6.9	0	0	5.5	4.4	6	6.3	0	6.8	5.1	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.09	4.13	0	0	0	0	0	5.2	6.2	0	0	0	0	0	0	5.9	0	0	0	0	0	0	0	0	4.1	0	5.9	6.5	0	4.8	4.1	5.7	0	5.2	0	0	0	4.1
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.16	-1.1	0	4.7	0	0	0	4.7	0	0	0	0	0	0	5.2	5.4	5.2	0	0	0	4.1	0	0	0	4.7	0	6.6	6.2	4.7	0	4.7	4.1	5.2	0	4.1	0	0	4.1
