day	Anno	celltype	UMAP_1	UMAP_2	Fli1	Gata1	Gfi1b	Hapln1	Hoxb2	Hoxb4	Lyl1	Runx1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.74	1.19	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.17	-0.19	0	0	3	0	3.6	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.51	1.37	2.7	0	0	0	2.7	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.91	2.91	0	3.3	2.9	0	0	0	0	2.2
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.91	3.19	0	0	0	0	2.6	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.39	1.8	0	3.3	2.2	2.2	0	0	0	2.9
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.15	0.29	0	0	0	0	0	0	2.6	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.29	-0.65	0	0	0	0	0	0	0	2.9
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.64	2.13	0	0	0	3	0	0	0	3.6
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.27	1.18	0	2.9	3.3	2.3	0	0	0	3.3
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.2	-1.79	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.13	-0.06	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.47	-0.55	3.2	0	0	4.1	3.9	0	0	2.6
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.64	1.75	0	0	0	2.4	3	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.67	2.47	3.6	0	0	0	2.3	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.03	1.51	0	0	0	0	0	0	0	3
