day	Anno	celltype	UMAP_1	UMAP_2	marker:Cer1	marker:Krt18	up:Sox17	up:Hesx1	up:Nr2f6	up:Hmga1	up:Sall4	up:Ovol2	up:Klf6	up:Mbd3	up:Elf3	up:Lin28a	up:Tead2	up:Nfkb1	up:Ybx1	down:Pou5f1	down:Mixl1	down:T	down:Foxj1	down:Sp5	down:Pa2g4	down:Foxa2	down:Trp53	down:Eomes	down:Cebpb	down:Junb	down:Sox11	down:Mycn	down:Lef1	down:Egr1	down:Olig1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.77	0.73	1.6	2.2	1.6	0	1.6	3.1	2.6	0	2.2	2.9	0	0	3.4	0	6.1	4.5	3.3	0	0	0	3.9	3.5	3.8	2.2	0	0	2.6	0	2.2	1.6	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.72	1.1	3	0	4.1	0	0	3.9	2	0	0	3.8	0	2	3.3	0	5.9	4.2	3.9	2.6	0	3	4.5	2.6	3.9	3	2	2.6	0	0	0	0	2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.45	-4.25	1.3	1.3	0	0	1.8	3.4	2.2	0	0	3.6	0	1.3	3.7	0	6.1	4.6	2.4	2.2	1.3	2.2	4.2	3	3.2	3.2	0	2.2	1.8	1.3	0	0	1.3
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.91	1.35	3.9	2.6	3.9	0	2.6	3	3	0	2.6	3	0	2	2.6	0	6	3.6	3.2	0	0	4.4	4.5	2	2	2.6	0	0	3	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.57	1.51	0	3	2	0	0	3	2	0	0	0	0	2	3.5	0	5.8	4.4	0	0	0	3	4.9	5	4	3.3	2	2	2	0	2	2	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.21	3.8	0	2	0	0	0	3.5	0	0	2	3.3	0	0	3.3	0	6	4.4	2.6	2	2.6	0	4.3	3.7	3.7	3.8	2.6	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.57	-5.8	0	2.9	0	0	0	2.9	1.7	0	0	3.4	0	1.7	2.9	0	5.9	4.9	2.9	3.3	1.7	0	4.6	2.6	3.3	2.3	2.3	0	1.7	1.7	0	1.7	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.12	3	0	2.7	0	0	0	3.7	2.7	0	2.7	3.5	0	2	3	0	6.2	4.5	2	0	0	3.7	3.7	3.5	3.7	3	0	0	2.7	0	0	0	2
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	1.91	-0.52	0	2.7	0	0	0	3.6	2.1	0	0	2.7	0	0	2.7	0	5.8	4.7	4.1	0	0	0	4	4	3.1	3.4	0	2.1	2.7	0	0	0	2.1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	5.16	-1.46	3.3	0	0	0	1.8	3.5	1.8	0	3.1	3.5	0	2.4	3.8	0	5.8	4.2	2.8	2.8	0	2.8	4.6	3.1	3.6	2.4	1.8	0	2.8	0	0	1.8	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.08	0.89	5.4	3.2	3.7	0	0	2.8	3.2	3.7	0	3.7	0	0	3.8	0	6.2	3.7	3.7	0	0	2.8	3.7	0	3.2	3.5	0	0	2.2	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.63	-1.59	2.7	0	0	0	0	3.5	0	0	1.7	2.7	0	0	3	0	5.9	4.2	4.1	2.3	0	2.3	5	3.8	3.2	3.2	0	0	2.3	0	1.7	0	1.7
