day	Anno	celltype	UMAP_1	UMAP_2	down:Trp63	down:Sox6	down:Nr2f2	down:Sox5	down:Foxp2	down:Lef1	down:Bnc2	down:Bach2	down:Mbnl2	down:Nr3c1	down:Dach2	down:Rarb	down:Meis2	down:Foxp4	down:Foxp1
E9.5	E95_Epidermis	Epidermis	2.42	3.19	0	5.2	5.2	0	0	0	0	0	0	0	0	0	7	0	0
E9.5	E95_Epidermis	Epidermis	6.15	2.11	5.1	5.1	0	0	0	0	0	0	5.1	0	0	0	5.4	0	5.1
E9.5	E95_Epidermis	Epidermis	2.6	4.58	5.2	5.2	0	0	0	0	5.9	5.2	0	0	0	0	0	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	-0.39	-8.43	0	4.3	0	0	0	0	0	4.9	0	0	4.3	0	0	0	4.9
E9.5	E95_Otic_epithelium	Otic_epithelium	1.66	-8.12	0	0	0	4.1	0	0	0	0	0	0	5.4	0	4.1	0	0
E9.5	E95_Epidermis	Epidermis	4.49	6.84	5.6	4.2	4.2	0	0	0	0	0	4.2	0	0	5.3	5.3	0	0
E9.5	E95_Epidermis	Epidermis	4.32	5.12	5.5	0	0	0	0	4.4	4.4	4.4	5.5	0	0	0	6.3	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.61	5.49	0	4.2	0	0	0	0	0	0	4.2	0	0	0	6	0	0
E9.5	E95_Epidermis	Epidermis	5.23	1.61	0	5.1	0	0	0	0	0	0	5.1	0	0	0	6.8	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	1.38	-7.95	0	3.9	0	4.6	0	4.6	0	0	4.6	0	4.6	0	5.5	0	4.6
E9.5	E95_Epidermis	Epidermis	4.31	3.64	0	0	4.7	0	0	4.7	0	0	0	0	0	0	5.4	0	5.4
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-4.38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9
E9.5	E95_Otic_epithelium	Otic_epithelium	0.16	-8.53	0	0	0	5.8	0	0	0	4.2	4.2	0	0	0	4.2	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	0.83	2.18	0	0	0	0	0	0	0	0	0	0	0	0	5.9	0	5.3
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-0.46	2.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.49	2.81	0	5.2	0	0	0	5.2	0	0	0	0	0	5.2	6.3	0	5.9
E9.5	E95_Otic_epithelium	Otic_epithelium	0.04	-7.97	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	0.47	-6.96	0	4.4	0	4.4	0	0	0	0	4.4	0	5.1	0	0	0	5.1
E9.5	E95_Epidermis	Epidermis	3.65	4.19	5.5	0	0	0	0	0	0	0	0	0	5.5	0	0	0	0
E9.5	E95_Epidermis	Epidermis	6.52	6.27	5.3	0	0	0	0	0	0	0	0	0	0	0	7.1	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.28	-2.06	0	0	4.7	5.4	0	0	0	0	5.4	0	0	4.7	5.8	0	0
E9.5	E95_Epidermis	Epidermis	2.67	4.21	0	0	0	5.1	0	5.1	5.1	0	5.1	0	0	0	5.8	0	0
E9.5	E95_Epidermis	Epidermis	2.2	2.41	6.2	0	0	0	5.5	0	0	0	0	0	0	0	5.5	0	6.6
E9.5	E95_Epidermis	Epidermis	5.89	2.02	0	5.5	0	0	0	0	4.4	0	4.4	0	0	0	4.4	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	1.02	-6.49	0	4.3	0	4.3	0	0	0	0	0	0	0	0	4.3	0	0
E9.5	E95_Epidermis	Epidermis	5.98	4.03	0	5.8	4.2	0	0	4.2	4.2	0	4.2	0	0	0	6.3	4.2	5.8
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-3.71	-1.47	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	6.3
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.37	3.81	0	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	2.28	-0.31	0	0	0	0	4.3	0	0	4.3	0	0	0	4.3	4.3	0	5
E9.5	E95_Epidermis	Epidermis	3.78	3.12	6.6	5.2	5.2	0	0	0	0	0	5.2	0	0	0	6.3	0	6.3
