day	Anno	celltype	UMAP_1	UMAP_2	down:Trp63	down:Sox6	down:Nr2f2	down:Sox5	down:Foxp2	down:Lef1	down:Bnc2	down:Bach2	down:Mbnl2	down:Nr3c1	down:Dach2	down:Rarb	down:Meis2	down:Foxp4	down:Foxp1
E9.5	E95_Epidermis	Epidermis	3.3	0.61	4.2	0	4.9	0	0	0	4.2	0	0	0	0	0	5.6	4.2	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	1.58	2.69	0	0	4.6	5.3	0	0	4.6	0	4.6	0	0	0	0	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	0.67	-8.35	0	0	0	5.3	4.2	0	0	0	4.2	0	0	0	0	5.6	5.6
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.12	-2.34	3.6	0	3.6	5.6	4.3	0	0	4.3	4.3	0	3.6	3.6	5.2	3.6	5
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	3.56	-3.48	0	0	5.3	4.6	4	0	0	0	0	0	0	0	5.5	0	4
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	4.57	-0.51	0	0	0	0	0	5.7	0	0	0	0	0	5.1	7.2	0	0
E9.5	E95_Epidermis	Epidermis	5.12	5.17	5	4.3	0	0	4.3	0	0	0	5	0	5.4	0	5.9	0	0
E9.5	E95_Epidermis	Epidermis	3.38	2.24	5.4	0	0	0	0	0	0	0	0	0	0	0	6.5	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.94	3.02	0	0	0	5.3	0	5.3	0	0	0	0	0	0	0	0	6.4
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.88	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1
E9.5	E95_Epidermis	Epidermis	5.99	1.88	4.8	4.8	0	0	0	4.1	4.8	0	0	0	0	0	5.5	0	4.8
