day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxa2	marker:Shh	marker:Ntn1	marker:Bmp7	up:Nkx6-1	up:Foxa1	up:Nkx2-9	up:Tox2	up:Arx	up:Tsc22d1	up:Peg3	up:Rfx4	up:Barx2	up:En1	up:Hey1	up:Sox4	up:Mxd4	up:Tal2	up:Dmrtb1	up:Sox2	up:Xbp1	up:Hes1	up:Pou6f2	up:Otx2	down:Id2	down:Lyar	down:Irx3	down:Irx5	down:Hes3	down:Hmgb1	down:Irx2	down:Mycn	down:Meis2	down:Cnbp	down:Pax3	down:Id1	down:Gli3	down:Myc
E8.5a	E85a_Hindbrain	Hindbrain	7.19	-1.05	0	0	0	0	0	0	0	0	0	4.3	1.5	1.5	0	1.5	0	2.7	0	0	0	2.1	2.5	0	0	0	4.3	4	2.5	0	3.5	5.7	0	2.1	2.9	4.7	0	3.1	1.5	0
E8.5a	E85a_Hindbrain	Hindbrain	5.4	-3.26	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	3	2.7	2.4	0	0	4.5	4	0	1.8	3	5.6	1.8	2.4	3.2	5.1	0	2.7	2.4	0
E8.5a	E85a_Hindbrain	Hindbrain	3.2	4.32	0	0	0	1.5	1.5	0	0	0	0	2.5	0	2.5	0	0	0	2.5	0	0	0	2.7	2.7	1.5	0	0	4.2	4.1	2.5	2.1	0	5.6	0	2.5	2.5	5.2	2.1	3.5	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-1.97	0.72	0	1.7	0	0	0	0	0	0	0	2.9	0	0	0	0	0	2.6	0	0	0	3.3	0	1.7	0	0	4.5	4.1	2.2	2.2	0	5.7	1.7	3.3	3.4	4.9	0	3.9	0	0
E8.5a	E85a_Posterior_floor_plate	Posterior_floor_plate	-4.65	2.7	0	0	1.9	0	1.9	0	3.9	0	0	3.7	0	1.9	0	0	0	2.9	0	0	0	0	1.9	2.9	0	0	2.9	4.2	0	0	0	5.6	0	2.9	0	4.6	0	4.2	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-7.66	-1.12	0	0	1.8	1.8	3.3	2.4	1.8	0	1.8	3.1	3.1	1.8	0	0	0	4.1	1.8	0	0	3.1	2.4	4	0	2.4	0	3.4	1.8	0	0	5.5	0	2.4	0	4.5	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-0.57	6.68	2	0	0	0	3.2	0	4.2	0	0	3.5	0	2.6	0	0	0	2.6	2	0	0	3.6	2	0	0	0	3.2	4	3	2	2	5.4	0	2.6	0	5.2	0	3	0	0
E8.5a	E85a_Hindbrain	Hindbrain	0.17	5.81	0	0	0	0	0	0	0	1.5	0	3.2	2.4	2.4	0	0	0	3.2	0	0	0	2.7	1.5	1.5	0	0	3.7	4.1	3.2	2.7	2.4	5.6	2	2.4	3.6	5.1	1.5	3.2	0	1.5
E8.5a	E85a_Hindbrain	Hindbrain	7.07	2.44	0	0	0	0	3.3	0	0	0	0	3.7	3.3	0	0	0	0	3.3	0	0	0	2.6	0	2.6	0	0	0	3.3	0	0	0	5.8	0	0	2.6	4.5	0	0	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-4.93	-1.17	4.4	0	0	0	3	0	4.5	0	0	2.7	2	0	0	0	0	4.1	0	0	0	2	0	2	0	0	2.7	2.7	0	0	0	5.7	0	2.7	2	5	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-1.29	0.59	0	0	0	0	0	0	0	2	0	2	3	2	0	0	0	2	0	0	0	2.6	2.6	0	0	0	4.5	3	3.3	0	4.5	5.4	0	2.6	2.6	4.4	2	3	0	2.6
E8.5a	E85a_Hindbrain	Hindbrain	1.92	-3.91	0	0	0	0	1.9	0	0	0	0	2.5	1.9	0	0	0	0	0	0	0	0	2.5	1.9	0	0	0	3.3	3.9	2.5	0	1.9	5.1	0	3.1	2.9	4.8	0	3.1	1.9	1.9
E8.5a	E85a_Hindbrain	Hindbrain	7.15	-2.29	0	0	0	1.9	0	0	0	0	0	1.9	1.9	0	0	0	1.9	3.6	0	0	0	1.9	2.9	1.9	0	0	3.6	4.3	2.6	1.9	1.9	5.6	0	3.2	3.6	4.9	0	2.9	0	0
E8.5a	E85a_Hindbrain	Hindbrain	2.92	-1.78	0	0	0	0	0	0	0	0	0	2.7	2.1	0	0	0	0	2.1	0	0	0	0	0	0	0	0	4.6	3.9	0	0	2.1	5.6	0	3.4	2.1	5	0	3.4	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-0.82	-3.8	0	0	2.2	0	0	0	0	0	0	2.2	0	0	0	0	0	2.2	0	0	0	3.5	2.2	0	0	0	2.2	3.7	2.2	2.8	0	5.3	0	3.2	2.8	5	0	0	2.2	0
