day	Anno	celltype	UMAP_1	UMAP_2	marker:Hlx	marker:Bmp2	marker:Krt8	marker:Col1a1	marker:Nrp1	up:Lrrfip1	up:Klf6	up:Hoxb2	up:Hoxb6	up:Foxf1	up:Hic2	down:Mesp1	down:Eomes	down:Mixl1	down:Pou5f1	down:Id1	down:T	down:Smad1	down:Etv2	down:Evx1	down:Snai1
E7	E7_Mixed_mesoderm	Mixed_mesoderm	3.5	2.31	0	3.6	3.2	0	0	2.6	0	3.2	0	3.2	0	0	0	0	3.6	0	2.6	2.6	3.2	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-4.03	-0.34	0	0	3.2	0	0	0	0	0	0	0	0	2.6	0	3.2	3.6	3.9	2.6	0	4.1	2.6	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-0.2	-4.09	0	2.7	0	0	0	0	0	0	0	4	0	5.2	0	0	4	4.2	4.2	2.7	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	3.78	0	0	2.5	4.3	3.2	0	2.5	4.1	2.5	3.2	4.5	0	0	0	0	0	2.5	0	2.5	2.5	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	1.7	3.08	0	0	2.6	0	0	0	2.6	3.2	0	3.6	0	3.2	2.6	0	3.2	0	0	3.2	0	0	2.6
E7	E7_Mixed_mesoderm	Mixed_mesoderm	1.82	-3.74	0	0	2.9	0	0	0	2.9	2.9	0	2.9	0	4.4	3.5	0	3.9	3.5	3.5	2.9	0	2.9	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	1.98	0.47	0	0	4.1	0	0	3	3.9	0	0	4.6	0	2.4	0	0	2.4	4.8	2.4	2.4	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-3.75	-0.19	0	0	2.8	0	0	0	2.1	0	0	3.2	0	2.8	2.1	3.4	2.8	4	2.8	2.1	5.1	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	4.25	-0.09	0	0	4.1	0	0	2.6	0	0	2.6	4.6	2.6	0	0	0	3.2	2.6	0	0	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	0.23	1.7	0	0	2.6	0	2.6	2.6	2.6	0	2.6	3.9	0	0	2.6	2.6	0	0	0	0	0	2.6	2.6
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-3.61	-1.01	0	0	0	0	0	3.1	0	0	0	3.1	2.5	3.5	0	0	2.5	3.5	0	2.5	3.1	0	2.5
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-1.11	0	0	0	3.2	0	0	2.5	2.5	0	0	3.8	2.5	0	3.6	2.5	0	3.2	0	0	3.2	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-2.3	2.04	0	0	0	0	0	0	0	0	0	0	0	2.6	2.6	2.6	3.7	2.6	0	0	5	0	2.6
E7	E7_Mixed_mesoderm	Mixed_mesoderm	3.89	1.84	0	2.6	4	0	0	3.3	3.3	0	0	4.8	0	0	0	0	0	0	0	0	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-0.9	-0.61	0	0	3.8	0	0	0	0	0	0	4	2.5	3.1	3.1	0	4	3.8	0	2.5	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	2.52	-0.89	2.4	0	4.5	3	0	3.4	0	2.4	2.4	3.7	0	2.4	0	0	3.4	3.4	0	0	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-1.97	3.88	0	0	0	0	0	0	0	2.3	0	0	0	4.2	0	4	3.8	3.3	3	2.3	4.2	3	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	-2.59	3.53	0	0	2.3	0	0	0	0	0	0	2.9	0	3.3	2.9	4.7	3.3	3.6	0	2.3	5.4	0	2.9
E7	E7_Mixed_mesoderm	Mixed_mesoderm	1.05	-0.92	0	2.2	3.9	0	0	2.2	0	2.2	0	4.6	0	0	2.2	2.2	2.9	2.2	0	2.2	2.2	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	2.03	-0.1	0	0	4.4	0	0	0	0	4	0	3.4	0	0	0	0	0	0	0	0	0	0	0
E7	E7_Mixed_mesoderm	Mixed_mesoderm	1.71	-1.89	0	0	4.4	0	0	0	2.8	0	0	2.8	2.8	0	0	0	3.9	2.8	0	2.8	2.8	2.8	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.36	-1.49	0	0	3.2	0	0	0	2.5	0	0	3.7	1.9	0	2.5	1.9	3.2	2.9	2.5	2.9	2.9	1.9	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.76	-2.01	0	0	4.5	0	0	0	0	1.8	0	2.7	0	3	0	0	2.7	3.4	1.8	1.8	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.19	-1.21	0	2.2	2.6	0	0	0	2.2	1.6	0	1.6	0	4.4	2.6	3.2	4.3	0	2.2	0	3.4	2.2	1.6
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.19	-0.07	0	0	4.5	2.3	0	0	2.3	2.9	0	3.8	2.3	0	0	0	2.9	2.3	0	0	0	0	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.23	-0.43	0	0	4.5	0	0	0	3.4	0	0	2.8	0	0	0	0	0	2.8	2.8	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.1	2.46	0	0	2.7	0	0	0	2.7	0	0	2.1	0	4.2	2.7	0	3.3	0	0	0	4.4	2.1	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.87	0.21	0	0	3.5	0	0	0	0	2.9	0	5	0	0	0	0	0	2.9	0	0	2.9	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.64	4.33	0	0	3.1	0	1.9	0	0	0	0	2.5	0	2.9	2.9	3.8	2.9	0	3.1	1.9	5	0	1.9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.61	1.06	0	0	2.4	0	0	0	1.8	0	0	2.4	1.8	1.8	2.8	2.4	3.3	3.1	0	1.8	2.8	2.8	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.22	-1.78	0	0	2.2	0	0	0	0	0	0	2.9	0	2.9	2.2	2.9	3.3	3.3	0	2.9	2.2	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.63	1.87	0	0	3.2	0	0	2.3	1.7	2.7	0	2.3	1.7	3.6	0	1.7	2.9	0	0	0	1.7	0	1.7
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.81	-0.83	0	1.8	3.8	0	0	2.4	0	3.1	0	3.8	0	3.9	0	0	2.8	2.4	0	2.4	1.8	0	2.4
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.51	3.07	0	0	2.7	0	0	0	2.1	0	0	3.6	0	3.1	0	0	3.1	2.1	0	0	0	0	2.1
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.08	-1.74	0	1.9	3.5	0	1.9	0	2.8	2.5	0	2.5	1.9	2.8	3.1	2.5	3.3	3.5	0	1.9	4.3	1.9	1.9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.26	-1.56	0	0	4.4	0	0	0	3	2.4	0	3	1.8	0	0	1.8	3.6	3	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.83	-3.31	0	0	3.8	0	0	2.1	2.1	0	0	3.4	0	0	2.1	0	2.7	4.2	2.1	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.78	1.12	0	0	3.2	0	0	0	0	0	0	0	0	3.4	1.9	1.9	2.9	3.2	0	1.9	2.5	0	1.9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.84	1.49	0	0	4	0	0	1.5	3	1.5	0	1.5	0	3.8	2.5	2.5	4	2.7	2.1	2.1	0	0	2.1
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.35	0.61	0	0	4.2	0	0	0	3.4	2.3	0	3	0	0	0	0	3	0	0	0	2.3	0	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.49	0.55	0	3.3	3.8	0	2.3	0	2.3	2.9	0	2.9	2.3	0	0	0	2.9	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.01	-0.46	0	1.9	1.9	0	2.6	2.6	1.9	0	0	3.2	1.9	3.9	3.4	1.9	3.2	1.9	0	3.4	4.4	2.6	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.04	1.53	0	0	3.3	0	2	0	2.7	3	0	2.7	2	0	0	0	0	2.7	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.41	-1.6	0	0	4.7	0	0	1.7	3.4	1.7	0	4	0	2.7	0	0	3.4	4.2	0	1.7	0	1.7	1.7
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.31	1.22	0	0	4.4	0	3.2	2.2	2.2	0	0	4.3	2.9	0	0	0	0	2.2	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.22	-2.71	0	0	3.1	0	0	0	0	2.5	0	3.1	0	1.9	0	3.3	3.3	2.5	0	2.5	4.1	3.1	1.9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.71	-2.85	0	0	0	0	0	0	0	0	0	4.2	0	3.9	0	0	3.8	3.8	2.9	2.2	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.72	3.63	0	0	3.2	0	0	0	3.2	2.2	0	4.1	0	2.2	2.8	3.5	2.8	0	0	2.2	2.2	0	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	0.99	-0.02	0	0	4.4	0	3.1	2.1	3.4	2.1	0	3.4	0	0	0	0	0	2.7	0	2.7	2.7	0	2.7
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.02	-2.46	0	0	2.4	0	0	0	0	2.4	0	3.7	0	0	0	0	0	2.4	3	0	0	2.4	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.33	-1.45	0	1.9	3.7	0	1.9	1.9	3.5	3.3	0	1.9	0	3.3	2.5	0	3.5	2.5	0	1.9	2.8	1.9	1.9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.86	-4.55	0	0	3	0	0	0	0	0	0	3	0	3.7	0	0	4.2	4.1	3.4	2.4	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-4.21	0.02	0	0	3.9	0	0	0	1.9	0	0	2.5	0	2.9	3.2	3.8	1.9	3.7	2.9	2.5	4.6	2.5	2.5
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.88	2.1	0	0	3.4	0	0	2.1	0	0	0	2.8	2.1	3.7	2.8	2.8	3.4	2.1	2.1	0	4.1	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.13	-1.71	1.8	0	4.1	1.8	0	1.8	1.8	0	0	3.7	1.8	3.2	2.4	1.8	3.2	2.4	0	2.7	2.4	1.8	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.75	2.44	0	0	2.8	0	0	0	3.2	0	0	4.2	2.1	3.2	2.1	3.2	3.8	4.1	0	0	0	2.1	2.1
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.92	-1.6	0	0	3.8	0	0	0	0	2.7	2.7	0	0	4	0	0	0	2.7	2.7	0	0	0	3.4
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.43	4.23	0	0	2.9	0	0	0	1.9	2.5	0	2.9	2.5	2.9	2.5	0	2.5	3.6	1.9	1.9	4.4	0	2.5
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.22	3.08	0	0	2.6	0	0	0	0	2	0	3	0	4.3	2	0	2.6	0	3.3	2	4.1	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.43	2.8	0	0	2.5	0	0	1.9	2.5	2.5	0	1.9	0	1.9	3.3	0	3.5	1.9	3.3	2.5	2.5	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.15	-4.48	0	0	2	0	0	0	0	0	0	0	2	5	0	2.6	4.7	3.5	3.9	0	0	3	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.61	0.48	0	0	3.1	0	0	0	2.5	0	0	3.1	2.5	0	2.5	0	3.5	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.21	3.23	2.1	0	3.1	0	0	0	3.1	0	0	2.7	0	3.6	2.7	0	4.1	2.1	0	0	4.5	0	2.7
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.12	1.04	0	0	1.9	0	0	1.9	2.5	0	0	3.4	1.9	3.9	3.7	3.4	3.2	2.9	0	1.9	1.9	1.9	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1	-1.34	0	0	3.6	0	0	2.6	1.9	1.9	0	3.2	0	0	0	0	3.6	3.6	0	0	0	0	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.81	1.35	0	0	3.7	0	0	3.7	2.4	0	0	4	0	0	0	0	2.4	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.81	-0.74	0	0	3.6	0	2.4	1.8	1.8	0	0	3.6	0	3.6	3.1	0	3.3	0	0	2.4	2.8	1.8	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.29	-0.26	0	0	4.3	0	0	2.1	3.4	0	0	2.1	0	0	0	0	3.8	3.1	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.27	-1.96	0	0	3.3	2.9	0	0	0	2.9	0	2.9	0	2.3	0	0	2.9	4.4	0	0	2.3	0	2.9
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.02	-1.33	0	0	3.4	0	0	0	3	0	0	3	0	2.4	0	0	2.7	2.4	2.7	0	0	0	2.7
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.61	0.2	0	1.8	3.9	0	0	2.4	2.8	0	0	3.1	1.8	0	2.4	0	3.5	3.6	0	0	4.3	2.8	2.4
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.97	1.18	0	0	4.6	0	2.9	2.2	3.3	0	0	2.9	0	0	0	2.2	2.2	0	0	2.2	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.81	-1.26	2.1	0	4.1	0	2.1	0	3.4	0	0	2.8	2.8	0	2.1	0	2.8	2.8	0	2.8	2.8	0	2.1
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.25	-1.97	0	0	3.2	0	1.8	0	3.6	0	0	2.7	1.8	2.7	2.4	2.7	2.7	0	3	2.7	4.2	2.7	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.35	-1.28	0	0	3.8	0	2.1	2.7	2.7	0	0	3.4	0	0	2.1	3.1	3.4	2.7	0	2.1	3.8	2.7	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.08	-4.11	0	0	0	0	0	2.3	0	0	0	3.3	0	3.6	2.3	2.3	4.5	4.7	3.6	0	0	3.3	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.7	-3.07	0	1.8	3	0	1.8	1.8	1.8	2.8	0	3.4	1.8	4.3	0	0	3.3	2.4	1.8	1.8	1.8	1.8	1.8
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.89	-2.05	0	0	4	0	0	0	0	0	0	1.9	0	4	0	2.5	3.2	3.6	3.4	2.5	4	2.5	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.98	-2.21	0	0	4.2	0	0	2.3	2.7	0	0	3.1	0	3.5	1.7	0	4	4.5	0	2.7	4.2	2.7	2.9
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	4.06	1.27	0	0	3.7	2.8	0	0	2.8	0	2.2	3.2	0	0	0	0	3.2	3.5	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.36	-0.98	0	0	2.6	0	0	2	2	2	0	2	0	4.7	3.5	0	3.5	0	0	2.6	0	0	2
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-3.85	0.82	0	0	2.1	0	0	0	2.7	0	0	2.1	0	4.1	3.3	2.1	3.6	3.1	0	0	4.5	2.7	2.1
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.94	0.49	0	0	5.2	0	2.4	2.4	3.8	0	2.4	4	0	0	0	0	3.1	3.1	0	0	0	2.4	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.26	-3.51	0	0	2.2	0	0	0	2.2	0	2.2	3.5	0	5	2.2	2.9	2.9	4.1	3.2	3.2	0	2.2	3.2
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.06	-0.58	0	0	4.5	0	0	2.2	3.2	2.2	0	4.1	0	0	0	0	2.2	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.38	-3	0	0	2.1	0	0	0	2.1	3.1	0	3.9	2.1	4.8	2.1	2.1	2.7	3.7	2.7	3.1	0	3.3	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.2	-0.9	0	0	4.3	0	0	0	0	2	2	3	2	0	0	0	2	0	0	2	2	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.42	-3.07	0	0	3	0	0	1.6	1.6	0	0	3	0	4.6	2.8	1.6	4	3.4	1.6	2.8	1.6	2.8	2.2
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.57	-0.8	0	0	3.9	0	0	0	0	2.4	0	4.4	2.4	2.4	0	0	3.7	3.4	0	2.4	0	2.4	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.6	-1.03	0	0	3.6	0	0	0	2.3	2.3	0	2.9	0	2.3	2.3	0	2.3	2.3	0	2.9	0	2.3	2.3
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.63	1.08	2	0	0	0	0	0	2	0	0	3.5	0	4.3	2.6	2.6	2.6	3.5	0	3	4.7	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	1.78	-1.59	0	0	4.3	0	0	0	3.3	2	2.7	3.1	2.7	0	0	2	3.5	3.5	0	0	0	2.7	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.43	1.78	0	0	3	0	0	0	0	3	0	3.3	0	3.8	2.3	0	3.3	3.6	0	2.3	2.3	0	3
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.16	-2.85	0	0	2.3	0	2.3	0	0	2.3	0	3.3	2.3	3.8	0	0	3.3	2.3	2.3	0	0	2.3	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.32	-0.68	0	0	3.7	0	1.5	0	1.5	1.5	0	2.5	1.5	0	0	0	2.5	0	3.1	0	0	0	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	2.4	1.05	0	2.2	3.9	0	0	2.2	3.2	3.5	2.2	3.5	2.2	0	0	0	2.2	0	0	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.13	2.42	0	0	3.2	0	0	0	0	2.1	0	2.8	0	0	3.7	2.8	0	0	2.8	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.5	4.79	0	2.1	2.7	0	0	0	0	0	0	0	0	0	2.1	2.7	3.6	3.7	2.7	2.1	5.2	3.1	2.7
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.71	2.87	0	0	3.5	2.2	2.2	0	3.2	0	0	3.2	0	2.2	2.2	3.2	3.5	2.8	0	0	3.2	2.2	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	2.73	-3.04	0	0	3.5	0	0	0	0	3.1	0	3.8	0	4.2	0	0	3.8	2.5	4.2	0	0	3.1	3.1
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-2.36	-0.72	0	0	3	0	0	0	1.7	0	0	1.7	0	3.5	1.7	0	2.3	3	0	3	0	1.7	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	0.92	1.66	0	0	3.4	0	0	0	2.4	2.4	0	2.4	0	2.4	3	2.4	3	2.4	0	0	2.4	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-0.59	0.17	0	0	3.7	0	0	0	0	2.2	0	3.5	2.2	2.2	2.2	0	2.2	2.8	0	0	0	0	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	3.02	1.76	0	0	2.9	0	2.2	0	2.9	3.3	2.2	2.2	0	0	0	0	2.2	2.2	0	0	0	0	0
E7.25	E725_Amniochorionic_mesoderm	Amniochorionic_mesoderm	1.98	2.55	0	0	3.6	0	0	2	3.8	2	0	4.1	0	3	0	0	2.6	3.5	0	0	3	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	3.39	-4.28	0	0	0	0	0	0	0	0	0	3.6	0	4.7	0	2.5	0	4.3	3.6	0	0	0	0
E7.25	E725_Mixed_mesoderm	Mixed_mesoderm	-1.48	0.17	0	0	2.1	0	0	0	0	2.1	0	2.7	0	2.1	2.7	2.1	2.1	3.4	0	3.1	2.1	0	0
