day	Anno	celltype	UMAP_1	UMAP_2	Gata6	Hand1	Lefty2	Lhx1	Mesp1	Mesp2	Sp5
E6.5	E65_Primitive_Streak	Primitive_Streak	3.58	0.96	0.3	0.5	0	0.5	0.3	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.04	1.29	1	0	4.9	4.5	4.3	4	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.76	-2.25	0.3	4.2	2.8	1.8	4.6	1.3	1.7
E6.5	E65_Primitive_Streak	Primitive_Streak	3.57	-0.19	0	0	0.1	0	0	0	2.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.23	0.99	1.2	0.7	4.2	3.6	3.9	2	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.73	0.27	2.8	2	3.8	3.6	4.6	4.1	3.9
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.22	-1.74	2.3	1.6	5	3.7	2.9	0.8	3.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.59	-2.62	1.2	3.8	2	3.7	3.6	1	2.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.82	-3.64	0.1	4.3	0.7	1.8	1.9	0.1	2.3
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.08	-1.9	2.1	3.8	3.9	2	4.4	0.5	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.41	-4.33	1.2	0	0	1	0	0.7	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.04	1.35	1.6	0	5.1	3.4	4.7	3.9	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.26	-0.57	1.9	0.8	5.5	3.2	2.7	1.2	3.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.72	-0.78	3	0.9	5	2.9	3.8	3.3	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.09	1.81	1.4	1.1	4.4	3.7	4.3	3.5	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.35	0.13	2.7	0	4.8	3.3	3.7	2	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	5.51	-2.52	2.6	0	0.3	3.4	0.5	0	4.1
E6.5	E65_Primitive_Streak	Primitive_Streak	0.45	-4	1.7	0	5.3	3.6	3.7	3	3.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.42	-2	2.5	2.7	4	3.7	3.7	0	3.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.19	-0.55	1.2	3.2	4.7	2.9	4.4	3	3.2
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.84	1.72	2.9	0	5.6	4.3	4.3	3.5	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.43	1.33	2.1	0	5	4	4	2.9	3.7
E6.5	E65_Primitive_Streak	Primitive_Streak	2.01	1.55	0	0	0	0.1	1.6	0.1	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.23	1.58	2.7	0	5.9	3.9	4.1	3.3	4
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.6	0.66	1.7	0	5.1	3.7	3.9	3.6	3.7
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.18	-3.31	1.4	3.2	1.2	1.8	1.1	0	1.8
E6.5	E65_Primitive_Streak	Primitive_Streak	3.55	0.63	0	0	0.6	0.3	2.1	1	1.9
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.44	0.46	0	0	2	4	4.9	4.5	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.84	-2.94	1.9	3.9	4	3	2.7	1.5	0.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.49	-2.3	2.4	2.9	4.3	2.9	3	0	3.3
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.47	-1.56	2.3	4.7	2.5	4.6	4.1	3.1	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.31	-1.89	1	2.8	3.2	4.2	3.9	2.8	2.9
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.86	-3.7	1.6	4.2	0	1.6	3.8	0.9	1.9
E6.5	E65_Primitive_Streak	Primitive_Streak	1.94	0.93	0	0.1	0	0.1	2	0	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.97	-2.9	1.2	3.6	2.6	3.2	3.8	0	3.1
E6.5	E65_Primitive_Streak	Primitive_Streak	-6.63	-1.83	3.1	3.1	3.7	4.3	4.1	2.8	3.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.63	-0.97	1	2.9	5.6	4	4.6	2	3.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.44	-2.74	3.4	3.6	2	4	4	1.5	3
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.99	-3.42	2	0	0	3.9	2.8	0	1.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.64	1.62	0.7	0.1	0.1	1.4	0.1	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.58	0.17	0	0.8	0.2	1	0.7	0	0.8
E6.5	E65_Primitive_Streak	Primitive_Streak	3.84	-0.4	0	0	0.3	0.1	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.77	0.14	3.2	0	5.7	3.8	4.3	2	3.6
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.28	-1.63	0.8	3.6	3.9	2.9	3.2	0.8	3
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.7	1.22	1.4	0	5.5	3.9	4.7	3.2	3.5
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.17	0.99	2.7	1.2	4.6	3.4	5.1	3.9	3.8
