day	Anno	celltype	UMAP_1	UMAP_2	marker:Osr1	marker:Lhx1	marker:Pax2	marker:Pax8	up:Hmga2	up:Foxp1	up:Meis1	up:Foxc2	up:Tcf7l1	up:Twist1	up:Alx1	up:Irx1	up:Pbx1	down:T	down:Mixl1	down:Evx1	down:Nkx1-2
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.5	-0.25	0	0	0	0	2.3	0	0	0	0	0	0	0	2.3	4.4	2.7	0	3.2
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.88	1.19	0	0	0	0	3.2	0	0	0	2.2	0	0	0	0	4.6	0	0	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	4.39	3.75	0	0	0	0	0	2.6	0	0	0	0	0	2.6	3.2	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.1	-5.83	0	0	0	0	3.5	2.6	0	0	0	2	0	0	0	0	0	2	2
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.31	-0.53	0	0	0	0	3.5	2.2	0	3.3	0	0	0	0	0	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.14	-3.65	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	2.8
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.57	-1.39	2.8	1.9	0	0	3.3	0	1.9	2.5	0	0	0	0	0	1.9	0	2.5	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-4.51	1.46	0	1.6	0	0	3.2	0	0	0	0	0	0	0	2.2	3.5	2.2	0	1.6
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-0.5	0.2	0	0	0	0	3.1	0	1.9	0	1.9	0	0	0	0	1.9	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.36	-1.3	0	0	0	0	3.3	0	0	0	0	0	0	0	0	2.5	0	2.8	2.8
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-1.98	2.83	0	0	0	0	1.8	1.8	0	0	0	0	0	0	0	0	0	1.8	2.4
E7.75	E775_Somatic_mesoderm	Somatic_mesoderm	3.56	-1.18	3.3	2	0	0	3	3	2	0	2	0	0	0	2.6	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.85	-4	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	2	2
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-3.77	-0.72	0	0	2.2	0	2.8	0	0	0	0	0	0	0	2.2	4.1	0	2.2	2.8
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.53	-2.93	1.9	0	0	0	2.9	1.9	0	0	2.5	0	0	0	0	0	1.9	2.9	1.9
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.93	-1.93	0	0	0	0	3.2	1.9	0	0	1.9	0	0	0	0	2.9	1.9	1.9	1.9
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.89	-1.02	0	0	0	0	0	0	0	0	2.2	0	0	0	0	3.2	0	2.2	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.79	-3.95	0	0	0	0	3.7	0	0	0	2.1	0	0	0	0	2.8	0	2.1	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	2.5	2.2	0	0	0	0	2.6	0	0	2.9	0	1.9	0	1.9	1.9	1.9	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-3.1	-0.46	0	0	0	0	2.1	2.1	0	0	0	0	0	0	0	2.1	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.28	-1.08	2.5	0	0	0	2.5	0	0	0	0	0	0	0	0	2.9	0	2.9	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.89	-2.52	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	2.7
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.71	-4.44	1.8	0	0	0	3.3	0	0	0	0	1.8	0	0	2.4	0	0	2.4	1.8
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	2.25	-0.62	0	0	0	0	2.9	3.9	2.9	2.9	0	0	0	0	0	0	0	0	0
E7.75	E775_Somatic_mesoderm	Somatic_mesoderm	3.35	-1.54	1.7	2.6	0	0	3.4	1.7	1.7	0	2.2	0	2.2	0	0	0	0	1.7	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.15	-0.89	0	0	0	0	2.2	0	0	0	0	0	0	0	0	3.2	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.75	0.49	0	0	0	0	2.5	1.9	0	0	0	0	0	0	0	3.9	1.9	1.9	1.9
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.79	-1.6	0	0	0	0	1.9	2.5	0	0	0	0	0	0	2.5	2.5	0	1.9	3.2
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.34	-1.53	2.2	0	0	0	2.2	0	0	0	0	0	0	0	0	2.2	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.14	-1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	0	2.8	3.2
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	-0.33	2.53	0	0	0	0	2.4	0	0	2.8	1.8	2.4	0	0	2.4	4.3	0	0	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	0.29	4.85	0	2.1	0	0	2.1	0	0	0	2.1	0	0	0	0	4	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-0.62	-0.18	2.1	0	0	0	3.7	0	0	0	0	0	0	0	2.7	3.1	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.27	-5.46	0	0	0	0	3.7	0	0	0	0	0	0	0	2.1	0	0	2.1	3.2
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.56	-3.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	2.2	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.77	-4.87	0	0	0	0	3.4	0	0	0	0	0	0	0	1.9	0	0	1.9	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.5	-2.29	1.9	0	0	0	3.3	0	0	0	0	0	0	0	2.5	2.5	0	1.9	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.39	-1.52	2.4	0	0	0	3.8	1.8	1.8	0	0	1.8	0	0	1.8	0	0	0	1.8
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.79	-3.01	3.3	0	0	0	1.8	0	0	0	0	0	0	0	2.4	3.1	2.8	2.4	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.97	-4.53	0	0	0	0	3.7	0	0	0	0	2.7	0	0	1.5	0	0	1.5	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.52	1.9	0	0	0	0	2.4	1.8	0	0	0	0	0	0	1.8	4.7	2.8	0	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	4.45	1.74	2	0	0	0	4.1	2	0	0	0	0	0	0	0	0	0	2	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.75	-2.73	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2.6	3.5
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.66	-3.04	0	0	0	0	2.8	0	0	0	2.2	0	0	0	0	2.2	0	2.2	0
