day	Anno	celltype	UMAP_1	UMAP_2	down:Pou5f1	down:Gbx2	down:Hoxb1	down:Hoxa1	down:Tal2	down:Dlx5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.18	-0.35	4.5	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.53	0.53	4.3	3.6	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.86	-2.06	4.3	2.2	2.2	2.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.48	-0.98	4.4	2.4	0	3.5	2.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.67	-0.19	4.3	2.3	3.8	3.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.51	0.35	4.6	0	3.4	3	0	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.73	0.93	4.4	2.1	2.1	4.1	2.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.3	0.73	5	0	2.2	4.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.83	0.77	4.4	2.7	2.1	2.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.5	0.45	4.3	3.4	2.2	2.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.63	3.11	4.5	2.1	0	4.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.54	0.73	4.5	2.8	0	2.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.63	2.82	4.5	1.7	2.7	4.2	1.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.73	0.48	4.8	0	0	3.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.99	1.45	4.3	2.7	3.1	3.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.5	2.35	4.4	1.6	1.6	3.6	1.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.56	1.05	4.3	0	0	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.48	1.14	4.9	0	2.2	2.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.5	2.34	4.3	2	2.7	3.9	0	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.97	0.22	3.9	3.6	0	2.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.44	-1.06	4.5	0	0	1.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.68	2.71	4	2.2	0	4.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.51	4.3	4.6	3.3	0	3.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.02	-1.63	4.3	2.3	1.7	3.1	0	1.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.54	-0.27	4.4	2.4	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.79	0.34	4.9	0	2.6	3.6	0	0
