node_id	best_path	gene_use
E115_Epidermis	E115_Epidermis,E105_Epidermis,E95_Epidermis,E85_Epidermis,E825_Surface_ectoderm,E8_Surface_ectoderm,E775_Surface_ectoderm,E75_Surface_ectoderm,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Car14,Rbpms2,Hnrnpf,Utf1,Anp32b,Wnt4,Wnt7b,Hba-x,Nav2,Hbb-y,Slc1a3,Trp63,Epcam
E125_Oligodendrocyte_precursor	E125_Oligodendrocyte_precursor,E115_Spinal_cord,E105_Spinal_cord,E95_Spinal_cord,E85_Spinal_cord,E825_Spinal_cord,E8_Caudal_neurectoderm,E775_Caudal_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Rbpms2,Slc16a3,Prdx1,Apex1,Emc8,Ptprz1,Maml2,Sox6,Gpm6b,Grid2,Ptptrz1,Pcdh15
E125_Primitive_erythroid	E125_Primitive_erythroid,E115_Primitive_erythroid,E105_Primitive_erythroid,E95_Primitive_erythroid,E85_Primitive_erythroid,E825_Primitive_erythroid,E8_Primitive_erythroid,E775_Primitive_erythroid,E75_Blood_prog,E725_Blood_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Gar1,Ssbp1,Rrp15,Pno1,Tma16,Dcc,E2f2,Mylk3,Cd47,Endod1,Hba-a1,HBB-y,Hba-x,Hbb-bh1
E775_Gut	E775_Gut,E75_Def_endoderm,E725_Def_endoderm,E7_Anterior_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Tdgf1,Eomes,Ina,2010111I01Rik,Fgf5,Cdkn1c,Cpm,Cpn1,Igfbp5,Cdx1,Apela,Krt8
E75_PGC	E75_PGC,E725_PGC,E7_PGC,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Car14,Uck2,Sephs2,Nelfa,Tdgf1,Klf2,Mfge8,Dlk1,Bmp4,Crot,Dppa3,Dnd1,Ifitm3
E95_Blood_prog	E95_Blood_prog,E85_Blood_prog,E825_Blood_prog,E8_Blood_prog,E775_Blood_prog,E75_Blood_prog,E725_Blood_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Car14,Pou5f1,Car4,Tgif1,Dppa5a,Itga2b,Rab27b,Fermt3,Dapp1,Tspan32,Runx1,Hapln1,Fli1
E8_Caudal_lateral_epiblast	E8_Caudal_lateral_epiblast,E775_Caudal_lateral_epiblast,E75_Caudal_lateral_epiblast,E725_Primitive_Streak,E7_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Tdgf1,Eomes,Sgk1,Fgf5,Car2,Grsf1,Hoxa1,Etv4,Hoxa3,Cdx1,Nkx1-2,Cdx2,Gbx2
E115_Granule_neurons	E115_Granule_neurons,E105_Granule_neurons,E95_Neuron_prog,E85_Hindbrain,E825_Hindbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Car14,Utf1,Slc7a3,Cldn7,Trh,Nsg2,Sox11,Igfbpl1,Tmem108,Celf2,Eomes,Neurod2,Tiam2
E95_Skeletal_muscle_prog	E95_Skeletal_muscle_prog,E85_Paraxial_mesoderm_A,E825_Paraxial_mesoderm_A,E8_Paraxial_mesoderm_A,E775_Paraxial_mesoderm_A,E75_Paraxial_mesoderm_A,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pou5f1,Vrtn,Pmaip1,Car2,Epcam,Ptn,Clmp,Spsb4,Ebf2,Ebf1,Fap,Sim1
E775_Somatic_mesoderm	E775_Somatic_mesoderm,E75_Somatic_mesoderm,E725_Somatic_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Tmem238,Upp1,Car2,Acer2,Tdgf1,Tnnt2,Pitx1,Tnni1,Acta2,Nexn,Krt8,Pmp22,Ahnak
